%TITLE%
 KHUM   240728/1900

   LEVEL       HGHT       TEMP       DWPT       WDIR       WSPD
-------------------------------------------------------------------
%RAW%
 752.79,    2577.92,      11.33,       8.25,     198.46,      18.79
 750.99,    2597.88,      11.18,       8.19,     197.08,      18.47
 749.19,    2617.97,      11.36,       7.21,     195.90,      18.38
 747.31,    2639.06,      11.25,       7.02,     195.47,      18.32
 745.33,    2661.18,      11.08,       6.95,     195.08,      18.42
 743.36,    2683.36,      10.88,       6.95,     194.38,      18.61
 741.44,    2704.94,      10.74,       7.08,     193.72,      18.58
 739.56,    2726.21,      10.69,       7.21,     193.24,      18.70
 737.58,    2748.53,      10.65,       7.07,     193.42,      18.85
 735.50,    2772.14,      10.52,       6.91,     194.31,      18.91
 733.35,    2796.57,      10.45,       6.63,     195.59,      19.29
 731.18,    2821.23,      10.28,       6.62,     196.86,      19.46
 729.02,    2845.89,      10.00,       6.54,     198.26,      19.58
 726.86,    2870.67,       9.85,       6.55,     200.35,      19.76
 724.67,    2895.75,       9.62,       6.62,     202.49,      19.84
 722.41,    2921.74,       9.34,       6.59,     204.57,      19.64
 720.13,    2948.01,       9.37,       5.96,     206.90,      19.41
 717.86,    2974.19,       9.24,       6.04,     208.28,      19.09
 715.58,    3000.62,       9.12,       5.78,     209.00,      18.60
 713.23,    3027.91,       9.02,       6.08,     209.81,      18.26
 710.80,    3056.31,       8.89,       4.96,     208.89,      17.84
 708.26,    3085.92,       8.78,       4.29,     208.19,      17.34
 705.71,    3115.77,       8.59,       3.87,     208.17,      17.05
 703.22,    3145.03,       8.35,       3.76,     207.57,      16.85
 700.73,    3174.43,       8.12,       3.52,     208.30,      16.71
 698.20,    3204.26,       7.83,       3.51,     208.56,      16.61
 695.65,    3234.49,       7.54,       3.42,     208.41,      16.42
 693.07,    3265.12,       7.20,       3.41,     208.23,      16.16
 690.44,    3296.50,       6.92,       3.42,     207.31,      15.72
 687.80,    3328.02,       6.70,       3.29,     205.42,      15.32
 685.23,    3358.83,       6.45,       3.30,     203.75,      15.12
 682.73,    3388.85,       6.30,       3.76,     201.54,      14.95
 680.25,    3418.73,       6.04,       3.97,     200.02,      15.11
 677.81,    3448.22,       5.79,       3.91,     199.33,      15.47
 675.40,    3477.38,       5.65,       3.56,     198.59,      15.74
 673.07,    3505.69,       5.41,       3.86,     199.00,      16.19
 670.84,    3532.86,       5.33,       3.81,     198.88,      16.68
 668.72,    3558.87,       5.11,       3.74,     198.92,      16.99
 666.61,    3584.60,       4.91,       3.46,     199.48,      17.38
 664.57,    3609.71,       4.68,       3.53,     199.49,      17.93
 662.61,    3633.87,       4.46,       3.65,     200.12,      18.36
 660.70,    3657.40,       4.26,       3.57,     201.17,      18.92
 658.80,    3680.90,       4.25,       2.88,     202.03,      19.49
 656.84,    3705.11,       4.04,       3.04,     203.83,      19.68
 654.85,    3729.92,       3.93,       2.17,     205.51,      19.96
 652.94,    3753.67,       3.67,       2.00,     206.75,      20.47
 651.18,    3775.56,       3.54,       1.78,     207.73,      20.62
 649.57,    3795.68,       3.35,       1.42,     208.08,      20.72
 647.98,    3815.64,       3.27,       1.26,     208.12,      20.54
 646.39,    3835.61,       3.26,       0.80,     208.17,      20.14
 644.77,    3855.97,       3.26,       0.64,     208.46,      20.20
 643.14,    3876.47,       3.29,       0.49,     208.56,      20.27
 641.57,    3896.39,       3.10,       0.61,     208.42,      20.79
 640.02,    3915.93,       3.13,       0.52,     208.11,      21.46
 638.47,    3935.62,       3.18,       0.29,     206.99,      21.83
 636.89,    3955.79,       3.10,       0.20,     205.40,      22.01
 635.21,    3977.17,       2.98,       0.13,     203.96,      21.72
 633.48,    3999.32,       2.78,      -0.11,     202.11,      20.89
 631.76,    4021.43,       2.80,      -0.25,     200.74,      19.92
 630.03,    4043.60,       2.66,      -0.25,     199.34,      19.35
 628.31,    4065.68,       2.59,      -0.29,     198.64,      19.18
 626.63,    4087.44,       2.88,      -0.90,     198.78,      19.33
 624.95,    4109.18,       2.97,      -1.05,     199.00,      19.78
 623.25,    4131.31,       2.92,      -0.99,     199.56,      20.23
 621.47,    4154.49,       2.76,      -0.97,     199.09,      20.34
 619.61,    4178.76,       2.61,      -0.80,     196.92,      20.09
