,Time[sec],Pressure[mbar],T[°C] ,U[%],Geo Pot[m],Dew [°C],RI    ,GRI     ,MRI    ,CL [m/s],D [g/m3],VP [mbar],Pot Te [°C],Vi Te [°C],Spec U [g/kg],UTC Time [sec],Wsp [m/s],Wdir [°],N/S Wind [m/s],E/W Wind [m/s],Vert Wind [m/s],Lon [°]    ,Lat [°]   ,Geometric Height [m]
0,0.0,996.0,31.7,48,189,19.3,255.5,   ///./,255.5,350.2,1138.4,22.5,36.3,34.3,14.15,59280.2,0.1,1, ////./       , ////./       , ////./        ,-87.61432,41.86649,189.0
1,1.0,995.9,31.2,48,189,19.0,255.9,   ///./,256.0,349.9,1140.2,22.0,35.8,33.7,13.86,59281.2,0.2,284, ////./       , ////./       , ////./        ,-87.61429,41.86647,189.4
2,2.0,995.9,30.7,49,190,18.7,256.3,   ///./,256.5,349.6,1142.1,21.6,35.3,33.2,13.58,59282.2,0.3,281, ////./       , ////./       , ////./        ,-87.61425,41.86646,189.8
3,3.0,995.8,30.2,49,190,18.3,256.8,   ///./,257.0,349.3,1143.9,21.1,34.8,32.6,13.3,59283.2,0.3,279, ////./       , ////./       , ////./        ,-87.61422,41.86644,190.3
4,4.0,995.7,29.7,50,191,18.0,257.2,   ///./,257.5,349.0,1145.8,20.7,34.3,32.0,13.02,59284.2,0.4,278, ////./       , ////./       , ////./        ,-87.61418,41.86643,191.0
5,5.0,995.7,29.1,50,192,17.7,257.6,   ///./,258.1,348.7,1147.6,20.2,33.8,31.5,12.75,59285.2,0.4,277, ////./       , ////./       , ////./        ,-87.61415,41.86641,191.8
6,6.0,995.6,28.6,50,192,17.3,258.1,   ///./,258.6,348.4,1149.5,19.8,33.3,30.9,12.48,59286.2,0.5,276, ////./       , ////./       , ////./        ,-87.61412,41.8664,192.5
7,7.0,995.3,28.4,51,193,17.2,258.2,   ///./,258.9,348.3,1150.2,19.7,33.0,30.6,12.38,59287.2,0.6,274, ////./       , ////./       , ////./        ,-87.61408,41.86638,193.2
8,8.0,994.9,28.2,51,194,17.2,258.3,   ///./,259.1,348.2,1150.3,19.7,32.9,30.5,12.4,59288.2,0.8,272, ////./       , ////./       , ////./        ,-87.61405,41.86637,194.0
9,9.0,994.6,28.1,52,196,17.2,258.3,   ///./,259.5,348.1,1150.4,19.7,32.8,30.3,12.42,59289.2,0.9,271, ////./       , ////./       , ////./        ,-87.61401,41.86635,196.3
10,10.0,994.3,28.0,52,201,17.3,258.4,   ///./,260.3,348.1,1150.5,19.7,32.7,30.2,12.43,59290.2,1.1,270, ////./       , ////./       , ////./        ,-87.61398,41.86634,201.1
11,11.0,993.9,27.8,53,206,17.3,258.4,   ///./,261.1,348.0,1150.6,19.7,32.6,30.1,12.45,59291.2,1.3,270, ////./       , ////./       , ////./        ,-87.61395,41.86632,205.9
12,12.0,993.6,27.7,53,211,17.3,258.5,   ///./,261.9,347.9,1150.7,19.8,32.5,30.0,12.46,59292.2,1.4,269, ////./       , ////./       , ////./        ,-87.61391,41.86631,210.6
13,13.0,993.0,27.6,54,215,17.3,258.4,   ///./,262.6,347.8,1150.5,19.8,32.4,29.8,12.48,59293.2,1.6,269, ////./       , ////./       , ////./        ,-87.61388,41.86629,215.4
14,14.0,992.3,27.4,54,220,17.3,258.4,   ///./,263.3,347.8,1150.3,19.8,32.3,29.7,12.49,59294.2,1.7,269, ////./       , ////./       , ////./        ,-87.61384,41.86628,220.2
15,15.0,991.7,27.3,54,226,17.3,258.4,   ///./,264.1,347.7,1150.0,19.8,32.3,29.6,12.51,59295.2,1.9,268, ////./       , ////./       , ////./        ,-87.61381,41.86628,225.6
16,16.0,991.1,27.2,55,232,17.3,258.3,   ///./,265.1,347.6,1149.8,19.8,32.2,29.5,12.52,59296.2,2.0,269, ////./       , ////./       , ////./        ,-87.61377,41.86629,231.8
