Time [mm:ss]	UTC Time [hh:mm:ss]	Range [m]	Vertical Speed [m/s]	Horizontal Speed [m/s]	Longitude [°]	Latitude [°]	Altitude [m]
00:06.7     	19:06:17.6         	211479.5 	0.1                 	0.4                   	-87.61423    	41.8664     	189.4
00:07.8     	19:06:18.7         	211479.3 	0.0                 	0.0                   	-87.61423    	41.8664     	189.5
00:08.7     	19:06:19.7         	211479.2 	0.0                 	0.1                   	-87.61423    	41.8664     	189.4
00:09.9     	19:06:20.8         	211479.8 	0.3                 	1.1                   	-87.61423    	41.8664     	189.7
00:10.8     	19:06:21.7         	211480.0 	0.4                 	0.5                   	-87.61423    	41.8664     	189.6
00:17.4     	19:06:28.3         	0.5      	0.0                 	0.1                   	-87.61424    	41.8664     	0.0
01:10.0     	19:07:20.9         	196.1    	1.6                 	1.7                   	-87.61428    	41.8664     	195.5
01:10.9     	19:07:21.8         	195.0    	0.9                 	0.5                   	-87.61428    	41.8664     	194.4
01:11.8     	19:07:22.7         	195.9    	1.0                 	0.9                   	-87.61427    	41.8665     	195.3
01:12.9     	19:07:23.8         	197.0    	0.3                 	0.1                   	-87.61428    	41.8664     	196.4
01:13.8     	19:07:24.7         	197.8    	0.4                 	0.2                   	-87.61428    	41.8665     	197.2
01:14.9     	19:07:25.8         	198.8    	0.2                 	0.1                   	-87.61427    	41.8665     	198.1
01:15.8     	19:07:26.7         	199.4    	0.9                 	0.9                   	-87.61427    	41.8665     	198.7
01:16.9     	19:07:27.8         	199.5    	0.4                 	0.2                   	-87.61427    	41.8665     	198.8
01:17.8     	19:07:28.7         	199.3    	-0.7                	0.7                   	-87.61427    	41.8665     	198.6
01:18.9     	19:07:29.8         	197.4    	0.1                 	0.1                   	-87.61427    	41.8665     	196.8
01:19.8     	19:07:30.7         	195.6    	0.3                 	0.2                   	-87.61428    	41.8664     	195.0
01:20.9     	19:07:31.8         	195.4    	0.4                 	0.2                   	-87.61428    	41.8664     	194.8
01:21.8     	19:07:32.8         	195.7    	0.9                 	0.3                   	-87.61427    	41.8664     	195.1
01:23.0     	19:07:33.9         	195.9    	-0.1                	0.1                   	-87.61427    	41.8664     	195.3
01:23.9     	19:07:34.8         	196.1    	0.0                 	0.2                   	-87.61428    	41.8664     	195.5
