,Time[sec],Pressure[mbar],T[°C] ,U[%],Geo Pot[m],Dew [°C],RI    ,GRI     ,MRI    ,CL [m/s],D [g/m3],VP [mbar],Pot Te [°C],Vi Te [°C],Spec U [g/kg],UTC Time [sec],Wsp [m/s],Wdir [°],N/S Wind [m/s],E/W Wind [m/s],Vert Wind [m/s],Lon [°]    ,Lat [°]   ,Geometric Height [m]
0,0.0,996.1,26.7,65,189,19.6,260.5,   ///./,260.5,347.3,1157.5,22.8,31.3,29.3,14.36,68940.7,0.8,45, ////./       , ////./       , ////./        ,-87.61424,41.86636,189.0
1,1.0,996.0,26.3,66,190,19.4,260.9,   ///./,261.1,347.1,1159.0,22.5,30.9,28.9,14.18,68941.7,0.2,180, ////./       , ////./       , ////./        ,-87.61423,41.86635,190.3
2,2.0,996.0,25.9,66,192,19.2,261.2,   ///./,261.7,346.9,1160.5,22.2,30.4,28.4,14.0,68942.7,0.1,176, ////./       , ////./       , ////./        ,-87.61423,41.86634,191.7
3,3.0,995.9,25.5,67,192,19.0,261.6,   ///./,262.1,346.6,1162.0,21.9,30.0,28.0,13.82,68943.7,0.1,171, ////./       , ////./       , ////./        ,-87.61422,41.86633,191.9
4,4.0,995.8,25.1,68,192,18.7,262.0,   ///./,262.5,346.4,1163.5,21.7,29.6,27.5,13.64,68944.7,0.1,166, ////./       , ////./       , ////./        ,-87.61422,41.86632,192.2
5,5.0,995.8,24.7,69,192,18.5,262.3,   ///./,262.9,346.1,1165.0,21.4,29.2,27.1,13.46,68945.7,0.1,160, ////./       , ////./       , ////./        ,-87.61421,41.8663,192.4
6,6.0,995.7,24.3,69,193,18.3,262.7,   ///./,263.3,345.9,1166.5,21.1,28.8,26.6,13.27,68946.7,0.1,153, ////./       , ////./       , ////./        ,-87.61421,41.86629,192.6
7,7.0,995.7,24.0,70,193,18.2,263.0,   ///./,263.6,345.8,1167.4,21.0,28.6,26.4,13.22,68947.7,0.2,108, ////./       , ////./       , ////./        ,-87.6142,41.86628,192.9
8,8.0,995.6,23.9,71,193,18.2,263.1,   ///./,263.7,345.7,1167.8,21.0,28.5,26.3,13.2,68948.7,0.3,83, ////./       , ////./       , ////./        ,-87.6142,41.86627,193.1
9,9.0,995.6,23.8,71,193,18.2,263.2,   ///./,263.9,345.6,1168.3,20.9,28.3,26.1,13.18,68949.7,0.3,72, ////./       , ////./       , ////./        ,-87.61419,41.86626,193.4
10,10.0,995.6,23.7,71,194,18.2,263.3,   ///./,264.0,345.6,1168.7,20.9,28.2,26.0,13.16,68950.7,0.4,65, ////./       , ////./       , ////./        ,-87.61419,41.86625,193.7
11,11.0,995.5,23.6,72,194,18.1,263.4,   ///./,264.2,345.5,1169.1,20.9,28.1,25.9,13.13,68951.7,0.5,62, ////./       , ////./       , ////./        ,-87.61419,41.86623,194.0
12,12.0,995.5,23.4,72,194,18.1,263.5,   ///./,264.4,345.4,1169.5,20.8,28.0,25.8,13.11,68952.7,0.6,59, ////./       , ////./       , ////./        ,-87.61418,41.86622,194.3
13,13.0,995.2,23.3,72,194,18.1,263.6,   ///./,264.4,345.4,1169.6,20.8,27.9,25.7,13.09,68953.7,0.7,58, ////./       , ////./       , ////./        ,-87.61418,41.86621,194.6
14,14.0,995.0,23.2,73,196,18.0,263.6,   ///./,264.7,345.3,1169.8,20.7,27.8,25.6,13.06,68954.7,0.7,56, ////./       , ////./       , ////./        ,-87.61417,41.8662,196.1
15,15.0,994.7,23.1,73,199,18.0,263.7,   ///./,265.2,345.2,1169.9,20.7,27.7,25.4,13.04,68955.7,0.8,55, ////./       , ////./       , ////./        ,-87.61418,41.86618,199.0
16,16.0,994.5,23.0,73,202,18.0,263.7,   ///./,265.8,345.2,1170.0,20.7,27.6,25.3,13.02,68956.7,1.0,55, ////./       , ////./       , ////./        ,-87.61421,41.86617,202.0
17,17.0,994.2,22.9,74,205,18.0,263.8,   ///./,266.3,345.1,1170.2,20.6,27.6,25.2,13.0,68957.7,1.1,55, ////./       , ////./       , ////./        ,-87.61424,41.86615,205.0
18,18.0,993.9,22.8,74,208,17.9,263.8,   ///./,266.8,345.0,1170.3,20.6,27.5,25.1,12.97,68958.7,1.3,55, ////./       , ////./       , ////./        ,-87.61427,41.86614,207.9
19,19.0,993.7,22.7,74,211,17.9,263.8,   ///./,267.3,345.0,1170.5,20.5,27.4,25.0,12.95,68959.7,1.4,55, ////./       , ////./       , ////./        ,-87.61431,41.86612,210.9
