Time [mm:ss]	UTC Time [hh:mm:ss]	Range [m]	Vertical Speed [m/s]	Horizontal Speed [m/s]	Longitude [°]	Latitude [°]	Altitude [m]
00:06.8     	17:24:35.1         	211483.0 	3.2                 	0.5                   	-87.61424    	41.8664     	190.9
00:08.0     	17:24:36.2         	211482.9 	1.9                 	0.4                   	-87.61424    	41.8664     	190.7
00:08.9     	17:24:37.1         	211482.6 	0.7                 	0.2                   	-87.61424    	41.8664     	190.8
00:10.0     	17:24:38.2         	211482.6 	0.5                 	0.6                   	-87.61424    	41.8664     	190.8
00:10.9     	17:24:39.1         	211483.2 	0.8                 	0.6                   	-87.61424    	41.8664     	191.9
02:25.0     	17:26:53.3         	36.4     	2.3                 	0.5                   	-87.61428    	41.8664     	187.0
02:25.9     	17:26:54.2         	36.2     	1.5                 	0.4                   	-87.61428    	41.8664     	186.8
02:27.0     	17:26:55.3         	38.3     	1.8                 	0.4                   	-87.61428    	41.8664     	188.9
02:27.9     	17:26:56.2         	39.4     	1.8                 	0.6                   	-87.61428    	41.8664     	190.0
02:28.8     	17:26:57.1         	41.5     	1.1                 	0.2                   	-87.61428    	41.8664     	192.1
02:30.0     	17:26:58.2         	43.1     	0.8                 	0.2                   	-87.61428    	41.8664     	193.7
02:30.9     	17:26:59.1         	44.3     	-0.2                	0.1                   	-87.61428    	41.8664     	194.8
02:32.0     	17:27:00.2         	44.8     	-0.2                	0.1                   	-87.61428    	41.8664     	195.4
02:34.0     	17:27:02.2         	46.2     	0.5                 	0.6                   	-87.61428    	41.8664     	196.7
02:34.9     	17:27:03.1         	46.7     	0.5                 	0.2                   	-87.61428    	41.8664     	197.2
02:36.0     	17:27:04.3         	46.5     	0.2                 	0.1                   	-87.61428    	41.8664     	197.0
02:36.9     	17:27:05.2         	44.9     	0.3                 	0.4                   	-87.61428    	41.8664     	195.5
02:38.0     	17:27:06.3         	45.9     	0.6                 	0.2                   	-87.61428    	41.8664     	196.5
02:38.9     	17:27:07.2         	47.7     	0.3                 	0.1                   	-87.61428    	41.8664     	198.3
02:40.0     	17:27:08.3         	45.5     	0.5                 	0.2                   	-87.61428    	41.8664     	196.1
02:40.9     	17:27:09.2         	43.4     	0.3                 	0.1                   	-87.61428    	41.8664     	194.0
02:42.0     	17:27:10.3         	43.5     	0.3                 	0.1                   	-87.61428    	41.8664     	194.1
02:43.0     	17:27:11.2         	43.8     	0.6                 	0.2                   	-87.61428    	41.8664     	194.4
02:43.9     	17:27:12.1         	43.7     	0.0                 	0.2                   	-87.61428    	41.8664     	194.3
02:45.0     	17:27:13.2         	42.9     	0.5                 	0.2                   	-87.61429    	41.8664     	193.5
02:45.9     	17:27:14.1         	43.5     	0.9                 	0.3                   	-87.61429    	41.8664     	194.1
02:47.0     	17:27:15.2         	42.9     	0.8                 	0.1                   	-87.61428    	41.8664     	193.5
02:47.9     	17:27:16.1         	41.9     	0.0                 	0.2                   	-87.61428    	41.8664     	192.6
02:49.9     	17:27:18.1         	38.7     	0.0                 	0.1                   	-87.61429    	41.8664     	189.4
02:51.0     	17:27:19.3         	39.7     	0.1                 	0.1                   	-87.61429    	41.8664     	190.3
02:51.9     	17:27:20.2         	39.0     	-0.2                	0.2                   	-87.61429    	41.8664     	189.7
02:53.0     	17:27:21.3         	38.5     	-0.3                	0.2                   	-87.61428    	41.8664     	189.2
02:53.9     	17:27:22.2         	38.8     	0.2                 	0.1                   	-87.61428    	41.8664     	189.5
