Time [mm:ss]	UTC Time [hh:mm:ss]	T [°C]	Hu5 [%]	T Molybdenum [°C]
28:26.9     	12:17:51.9         	1.38  	85.23  	6.26
28:27.8     	12:17:52.8         	1.38  	85.72  	6.11
28:28.7     	12:17:53.7         	1.37  	84.13  	6.06
28:29.6     	12:17:54.6         	1.36  	83.59  	5.97
28:30.5     	12:17:55.5         	1.35  	83.59  	6.01
28:31.3     	12:17:56.3         	1.35  	83.80  	5.95
28:32.2     	12:17:57.2         	1.34  	82.04  	5.99
28:33.1     	12:17:58.1         	1.35  	80.63  	6.01
28:34.0     	12:17:59.0         	1.37  	80.19  	6.02
28:34.9     	12:17:59.9         	1.37  	80.44  	5.98
28:35.8     	12:18:00.8         	1.37  	80.06  	6.09
28:36.7     	12:18:01.7         	1.37  	80.29  	6.06
28:37.6     	12:18:02.6         	1.38  	80.08  	6.08
28:38.6     	12:18:03.6         	1.37  	80.85  	5.95
28:39.5     	12:18:04.5         	1.33  	81.62  	5.81
28:40.4     	12:18:05.4         	1.33  	81.62  	5.99
28:41.3     	12:18:06.3         	1.33  	82.40  	6.03
28:42.1     	12:18:07.1         	1.33  	82.40  	5.94
28:43.0     	12:18:08.0         	1.34  	81.20  	6.01
28:43.9     	12:18:08.9         	1.33  	81.76  	5.90
28:44.8     	12:18:09.8         	1.26  	81.50  	6.02
28:45.7     	12:18:10.7         	1.21  	82.19  	6.11
28:46.6     	12:18:11.6         	1.19  	83.03  	6.04
28:47.4     	12:18:12.4         	1.19  	84.00  	5.92
28:48.4     	12:18:13.4         	1.20  	84.75  	5.84
28:49.3     	12:18:14.3         	1.15  	85.60  	5.84
28:50.1     	12:18:15.1         	1.15  	86.37  	5.85
28:51.0     	12:18:16.0         	1.08  	86.46  	6.00
28:52.0     	12:18:17.0         	1.04  	87.49  	5.87
28:52.9     	12:18:17.9         	1.04  	87.97  	5.72
28:53.8     	12:18:18.8         	1.05  	88.50  	5.53
28:54.7     	12:18:19.7         	1.06  	88.16  	5.54
28:55.6     	12:18:20.6         	1.05  	88.38  	5.52
28:56.5     	12:18:21.5         	1.04  	88.11  	5.56
28:57.4     	12:18:22.4         	1.03  	88.50  	5.55
28:58.2     	12:18:23.2         	1.02  	88.25  	5.62
28:59.1     	12:18:24.1         	0.99  	88.50  	5.68
29:00.0     	12:18:25.0         	0.98  	88.37  	5.73
29:00.9     	12:18:25.9         	0.96  	88.88  	5.67
29:01.8     	12:18:26.8         	0.94  	88.83  	5.55
29:02.7     	12:18:27.7         	0.91  	89.22  	5.45
29:03.5     	12:18:28.5         	0.87  	89.15  	5.44
29:04.4     	12:18:29.4         	0.83  	88.90  	5.62
29:05.4     	12:18:30.4         	0.78  	89.48  	5.71
29:06.3     	12:18:31.3         	0.74  	89.34  	5.78
29:07.2     	12:18:32.2         	0.72  	89.55  	5.71
29:08.1     	12:18:33.1         	0.70  	89.62  	5.67
29:09.0     	12:18:34.0         	0.71  	89.33  	5.55
29:09.9     	12:18:34.9         	0.70  	89.10  	5.47
29:10.8     	12:18:35.8         	0.69  	89.01  	5.35
29:11.6     	12:18:36.6         	0.64  	88.76  	5.43
29:12.5     	12:18:37.5         	0.60  	88.88  	5.41
29:13.4     	12:18:38.4         	0.59  	89.08  	5.34
29:14.4     	12:18:39.4         	0.60  	89.07  	5.21
29:15.2     	12:18:40.2         	0.60  	88.66  	5.22
29:16.1     	12:18:41.1         	0.61  	88.25  	5.21
29:17.0     	12:18:42.0         	0.57  	88.40  	5.24
29:18.0     	12:18:43.0         	0.54  	88.08  	5.31
29:18.9     	12:18:43.9         	0.49  	88.25  	5.38
29:19.8     	12:18:44.8         	0.46  	88.37  	5.37
29:20.6     	12:18:45.6         	0.43  	88.51  	5.31
29:21.6     	12:18:46.6         	0.42  	88.72  	5.19
29:22.5     	12:18:47.5         	0.43  	88.27  	5.16
29:23.3     	12:18:48.3         	0.45  	88.17  	5.03
29:24.2     	12:18:49.2         	0.43  	87.76  	4.99
29:25.1     	12:18:50.1         	0.40  	87.62  	5.04
29:26.0     	12:18:51.0         	0.35  	87.55  	5.20
29:26.9     	12:18:51.9         	0.31  	88.64  	5.11
29:27.8     	12:18:52.8         	0.28  	88.99  	5.04
29:28.7     	12:18:53.7         	0.30  	88.97  	4.97
29:29.6     	12:18:54.6         	0.29  	88.95  	4.94
29:30.5     	12:18:55.5         	0.28  	89.16  	4.83
29:31.3     	12:18:56.3         	0.26  	89.02  	4.88
29:32.3     	12:18:57.3         	0.25  	89.09  	4.89
29:33.2     	12:18:58.2         	0.23  	89.13  	4.97
29:34.1     	12:18:59.1         	0.21  	89.51  	4.94
29:35.0     	12:19:00.0         	0.17  	89.90  	4.90
29:35.9     	12:19:00.9         	0.12  	90.12  	4.89
29:36.8     	12:19:01.8         	0.08  	90.35  	4.89
29:37.7     	12:19:02.7         	0.05  	90.80  	4.90
29:38.6     	12:19:03.6         	0.01  	91.29  	4.79
29:39.4     	12:19:04.4         	0.02  	91.40  	4.63
29:40.3     	12:19:05.3         	0.01  	91.16  	4.57
29:41.2     	12:19:06.2         	-0.01 	91.01  	4.58
29:42.1     	12:19:07.1         	-0.06 	90.90  	4.75
29:43.0     	12:19:08.0         	-0.09 	91.15  	4.83
29:43.9     	12:19:08.9         	-0.11 	91.46  	4.88
29:44.8     	12:19:09.8         	-0.12 	91.73  	4.85
29:45.8     	12:19:10.8         	-0.13 	91.98  	4.78
29:46.7     	12:19:11.7         	-0.13 	91.53  	4.71
29:47.5     	12:19:12.5         	-0.14 	90.55  	4.70
29:48.4     	12:19:13.4         	-0.13 	89.84  	4.68
29:49.3     	12:19:14.3         	-0.12 	89.08  	4.69
29:50.2     	12:19:15.2         	-0.13 	89.03  	4.58
29:51.1     	12:19:16.1         	-0.14 	88.73  	4.44
29:52.0     	12:19:17.0         	-0.12 	88.54  	4.33
29:52.9     	12:19:17.9         	-0.10 	88.30  	4.16
29:53.8     	12:19:18.8         	-0.09 	88.28  	4.00
29:54.7     	12:19:19.7         	-0.10 	87.66  	3.98
29:55.5     	12:19:20.5         	-0.12 	87.83  	3.93
29:56.4     	12:19:21.4         	-0.14 	87.53  	4.00
29:57.4     	12:19:22.4         	-0.18 	88.20  	4.00
29:58.2     	12:19:23.2         	-0.23 	88.30  	4.10
29:59.1     	12:19:24.1         	-0.27 	88.10  	4.17
30:00.1     	12:19:25.1         	-0.30 	87.41  	4.37
30:01.0     	12:19:26.0         	-0.34 	87.90  	4.37
30:01.9     	12:19:26.9         	-0.34 	87.87  	4.41
30:02.8     	12:19:27.8         	-0.33 	87.60  	4.35
30:03.7     	12:19:28.7         	-0.35 	87.28  	4.42
30:04.6     	12:19:29.6         	-0.39 	87.04  	4.51
30:05.5     	12:19:30.5         	-0.40 	87.96  	4.34
30:06.3     	12:19:31.3         	-0.38 	87.61  	4.24
30:07.2     	12:19:32.2         	-0.40 	87.52  	4.24
30:08.1     	12:19:33.1         	-0.45 	87.69  	4.22
30:09.0     	12:19:34.0         	-0.49 	87.77  	4.22
30:09.9     	12:19:34.9         	-0.51 	88.03  	4.22
30:10.8     	12:19:35.8         	-0.50 	88.03  	4.21
30:11.7     	12:19:36.7         	-0.53 	88.75  	4.17
30:12.6     	12:19:37.6         	-0.57 	88.71  	4.22
30:13.6     	12:19:38.6         	-0.61 	89.41  	4.32
30:14.4     	12:19:39.4         	-0.63 	90.25  	4.23
30:15.3     	12:19:40.3         	-0.62 	91.75  	4.10
30:16.2     	12:19:41.2         	-0.60 	91.50  	4.16
30:17.1     	12:19:42.1         	-0.60 	91.94  	4.06
30:18.0     	12:19:43.0         	-0.61 	90.64  	4.12
30:18.9     	12:19:43.9         	-0.62 	90.13  	4.16
30:19.8     	12:19:44.8         	-0.64 	90.13  	4.21
30:20.7     	12:19:45.7         	-0.66 	90.48  	4.11
30:21.6     	12:19:46.6         	-0.69 	90.78  	3.99
30:22.4     	12:19:47.4         	-0.72 	90.75  	3.90
30:23.3     	12:19:48.3         	-0.71 	90.00  	3.91
30:24.2     	12:19:49.2         	-0.69 	90.16  	3.89
30:25.1     	12:19:50.1         	-0.70 	89.80  	3.95
30:26.0     	12:19:51.0         	-0.74 	90.17  	3.94
30:26.9     	12:19:51.9         	-0.80 	89.59  	4.16
30:27.9     	12:19:52.9         	-0.83 	90.83  	4.09
30:28.8     	12:19:53.8         	-0.87 	90.87  	4.03
30:29.7     	12:19:54.7         	-0.90 	91.28  	3.89
30:30.5     	12:19:55.5         	-0.90 	90.95  	3.78
30:31.4     	12:19:56.4         	-0.90 	90.78  	3.72
30:32.4     	12:19:57.4         	-0.89 	90.50  	3.72
30:33.2     	12:19:58.2         	-0.92 	90.71  	3.76
30:34.1     	12:19:59.1         	-0.97 	90.18  	3.97
30:35.0     	12:20:00.0         	-1.00 	91.08  	4.03
30:35.9     	12:20:00.9         	-1.01 	91.52  	3.93
30:36.8     	12:20:01.8         	-1.01 	91.36  	3.90
30:37.7     	12:20:02.7         	-1.02 	91.67  	3.81
30:38.6     	12:20:03.6         	-1.04 	91.61  	3.75
30:39.5     	12:20:04.5         	-1.07 	91.97  	3.71
30:40.4     	12:20:05.4         	-1.08 	92.05  	3.62
30:41.2     	12:20:06.2         	-1.11 	92.04  	3.63
30:42.2     	12:20:07.2         	-1.16 	92.24  	3.64
30:43.1     	12:20:08.1         	-1.16 	92.54  	3.63
30:44.0     	12:20:09.0         	-1.18 	92.77  	3.65
30:44.9     	12:20:09.9         	-1.20 	93.05  	3.66
30:45.8     	12:20:10.8         	-1.23 	93.12  	3.72
30:46.7     	12:20:11.7         	-1.26 	93.72  	3.60
30:47.6     	12:20:12.6         	-1.30 	93.87  	3.53
30:48.5     	12:20:13.5         	-1.32 	93.96  	3.39
30:49.3     	12:20:14.3         	-1.35 	94.13  	3.32
30:50.2     	12:20:15.2         	-1.37 	94.46  	3.24
30:51.1     	12:20:16.1         	-1.40 	94.60  	3.17
30:52.0     	12:20:17.0         	-1.43 	94.87  	3.05
30:52.9     	12:20:17.9         	-1.45 	94.48  	3.13
30:53.8     	12:20:18.8         	-1.45 	94.84  	3.11
30:54.7     	12:20:19.7         	-1.44 	94.23  	3.18
30:55.6     	12:20:20.6         	-1.41 	93.78  	3.14
30:56.6     	12:20:21.6         	-1.41 	93.25  	3.18
30:57.4     	12:20:22.4         	-1.42 	93.36  	3.16
30:58.3     	12:20:23.3         	-1.43 	92.11  	3.23
30:59.2     	12:20:24.2         	-1.43 	90.05  	3.29
31:00.1     	12:20:25.1         	-1.44 	88.39  	3.35
31:01.0     	12:20:26.0         	-1.45 	86.41  	3.35
31:01.9     	12:20:26.9         	-1.49 	86.37  	3.39
31:02.8     	12:20:27.8         	-1.50 	86.81  	3.41
31:03.7     	12:20:28.7         	-1.53 	86.27  	3.44
31:04.6     	12:20:29.6         	-1.54 	86.11  	3.28
31:05.4     	12:20:30.4         	-1.52 	82.29  	3.26
31:06.3     	12:20:31.3         	-1.50 	79.88  	3.14
31:07.2     	12:20:32.2         	-1.52 	78.41  	3.22
31:08.1     	12:20:33.1         	-1.55 	77.40  	3.30
31:09.0     	12:20:34.0         	-1.57 	76.70  	3.35
31:10.0     	12:20:35.0         	-1.58 	76.78  	3.26
31:10.9     	12:20:35.9         	-1.57 	75.44  	3.19
31:11.8     	12:20:36.8         	-1.56 	72.74  	3.15
31:12.7     	12:20:37.7         	-1.55 	74.50  	3.11
31:13.5     	12:20:38.5         	-1.54 	76.53  	3.05
31:14.4     	12:20:39.4         	-1.53 	76.59  	3.04
31:15.4     	12:20:40.4         	-1.53 	77.67  	2.95
31:16.2     	12:20:41.2         	-1.53 	77.71  	2.97
31:17.1     	12:20:42.1         	-1.55 	78.37  	2.92
31:18.0     	12:20:43.0         	-1.58 	77.53  	3.03
31:18.9     	12:20:43.9         	-1.62 	77.06  	3.10
31:19.8     	12:20:44.8         	-1.67 	76.85  	3.13
31:20.7     	12:20:45.7         	-1.69 	77.28  	3.08
31:21.5     	12:20:46.5         	-1.70 	77.62  	3.11
31:22.5     	12:20:47.5         	-1.69 	77.79  	3.04
31:23.5     	12:20:48.5         	-1.68 	77.46  	3.07
31:24.3     	12:20:49.3         	-1.67 	78.02  	2.94
31:25.2     	12:20:50.2         	-1.68 	79.17  	2.80
31:26.1     	12:20:51.1         	-1.71 	81.11  	2.82
31:27.0     	12:20:52.0         	-1.74 	83.15  	2.84
31:27.9     	12:20:52.9         	-1.78 	84.01  	2.98
31:28.8     	12:20:53.8         	-1.81 	87.02  	2.97
31:29.7     	12:20:54.7         	-1.85 	88.37  	2.95
31:30.6     	12:20:55.6         	-1.87 	88.29  	2.89
31:31.5     	12:20:56.5         	-1.90 	88.07  	2.76
31:32.3     	12:20:57.3         	-1.91 	87.74  	2.78
31:33.2     	12:20:58.2         	-1.92 	87.16  	2.85
31:34.1     	12:20:59.1         	-1.94 	85.35  	3.03
31:35.0     	12:21:00.0         	-1.94 	84.60  	3.15
31:35.9     	12:21:00.9         	-1.96 	85.13  	3.01
31:36.9     	12:21:01.9         	-1.96 	84.36  	2.84
31:37.8     	12:21:02.8         	-1.93 	83.23  	2.84
31:38.7     	12:21:03.7         	-1.90 	82.89  	2.76
31:39.6     	12:21:04.6         	-1.90 	82.53  	2.78
31:40.4     	12:21:05.4         	-1.93 	82.67  	2.85
31:41.3     	12:21:06.3         	-1.96 	82.57  	2.96
31:42.2     	12:21:07.2         	-1.97 	82.93  	2.97
31:43.1     	12:21:08.1         	-1.94 	83.66  	2.87
31:44.0     	12:21:09.0         	-1.91 	84.45  	2.68
31:44.9     	12:21:09.9         	-1.90 	84.30  	2.66
31:45.8     	12:21:10.8         	-1.94 	84.87  	2.77
31:46.7     	12:21:11.7         	-1.97 	85.04  	2.92
31:47.6     	12:21:12.6         	-1.97 	86.23  	2.79
31:48.4     	12:21:13.4         	-1.94 	85.77  	2.75
31:49.3     	12:21:14.3         	-1.94 	85.87  	2.68
31:50.2     	12:21:15.2         	-1.96 	85.61  	2.63
31:51.2     	12:21:16.2         	-2.00 	85.51  	2.73
31:52.1     	12:21:17.1         	-2.02 	85.39  	2.85
31:53.0     	12:21:18.0         	-2.04 	85.68  	2.79
31:53.9     	12:21:18.9         	-2.01 	85.36  	2.68
31:54.8     	12:21:19.8         	-2.01 	85.26  	2.63
31:55.7     	12:21:20.7         	-2.03 	85.29  	2.56
31:56.5     	12:21:21.5         	-2.06 	85.23  	2.56
31:57.4     	12:21:22.4         	-2.09 	85.31  	2.57
31:58.3     	12:21:23.3         	-2.13 	85.23  	2.71
31:59.2     	12:21:24.2         	-2.15 	85.76  	2.63
32:00.1     	12:21:25.1         	-2.17 	85.85  	2.54
32:01.0     	12:21:26.0         	-2.16 	85.48  	2.46
32:01.9     	12:21:26.9         	-2.16 	85.41  	2.39
32:02.8     	12:21:27.8         	-2.17 	85.22  	2.39
32:03.7     	12:21:28.7         	-2.17 	84.80  	2.51
32:04.6     	12:21:29.6         	-2.16 	84.56  	2.55
32:05.5     	12:21:30.5         	-2.15 	84.17  	2.64
32:06.4     	12:21:31.4         	-2.16 	84.53  	2.64
32:07.3     	12:21:32.3         	-2.18 	84.24  	2.64
32:08.2     	12:21:33.2         	-2.22 	84.45  	2.54
32:09.1     	12:21:34.1         	-2.22 	84.11  	2.47
32:10.0     	12:21:35.0         	-2.23 	84.11  	2.42
32:10.9     	12:21:35.9         	-2.23 	83.82  	2.43
32:11.8     	12:21:36.8         	-2.24 	84.12  	2.42
32:12.6     	12:21:37.6         	-2.26 	83.81  	2.47
32:13.5     	12:21:38.5         	-2.29 	84.18  	2.48
32:14.4     	12:21:39.4         	-2.31 	84.29  	2.46
32:15.3     	12:21:40.3         	-2.36 	84.89  	2.42
32:16.2     	12:21:41.2         	-2.40 	84.89  	2.43
32:17.1     	12:21:42.1         	-2.44 	85.42  	2.37
32:18.1     	12:21:43.1         	-2.48 	85.42  	2.39
32:19.0     	12:21:44.0         	-2.51 	86.08  	2.30
32:19.9     	12:21:44.9         	-2.52 	85.94  	2.22
32:20.7     	12:21:45.7         	-2.53 	86.12  	2.14
32:21.7     	12:21:46.7         	-2.55 	86.18  	2.05
32:22.6     	12:21:47.6         	-2.59 	86.64  	1.98
32:23.4     	12:21:48.4         	-2.64 	86.41  	2.07
32:24.3     	12:21:49.3         	-2.69 	86.59  	2.22
32:25.2     	12:21:50.2         	-2.73 	87.36  	2.18
32:26.1     	12:21:51.1         	-2.76 	87.60  	2.10
32:27.0     	12:21:52.0         	-2.76 	87.50  	2.01
32:27.9     	12:21:52.9         	-2.77 	87.84  	1.96
32:28.8     	12:21:53.8         	-2.78 	87.84  	1.94
32:29.7     	12:21:54.7         	-2.79 	88.12  	1.89
32:30.6     	12:21:55.6         	-2.80 	88.26  	1.83
32:31.4     	12:21:56.4         	-2.81 	88.00  	1.80
32:32.4     	12:21:57.4         	-2.83 	88.19  	1.81
32:33.3     	12:21:58.3         	-2.84 	88.33  	1.81
32:34.2     	12:21:59.2         	-2.88 	88.18  	1.93
32:35.1     	12:22:00.1         	-2.92 	88.65  	1.95
32:36.0     	12:22:01.0         	-2.97 	88.70  	1.96
32:36.9     	12:22:01.9         	-3.01 	89.06  	1.94
32:37.8     	12:22:02.8         	-3.02 	89.04  	1.86
32:38.7     	12:22:03.7         	-3.01 	88.84  	1.82
32:39.5     	12:22:04.5         	-3.02 	88.86  	1.73
32:40.4     	12:22:05.4         	-3.05 	88.77  	1.80
32:41.3     	12:22:06.3         	-3.08 	89.17  	1.87
32:42.2     	12:22:07.2         	-3.12 	89.44  	1.96
32:43.1     	12:22:08.1         	-3.17 	90.06  	1.92
32:44.0     	12:22:09.0         	-3.22 	90.41  	1.88
32:44.9     	12:22:09.9         	-3.22 	91.17  	1.70
32:45.8     	12:22:10.8         	-3.24 	91.33  	1.63
32:46.8     	12:22:11.8         	-3.26 	91.45  	1.55
32:47.7     	12:22:12.7         	-3.30 	91.74  	1.54
32:48.5     	12:22:13.5         	-3.33 	91.67  	1.57
32:49.4     	12:22:14.4         	-3.36 	91.96  	1.48
32:50.4     	12:22:15.4         	-3.36 	92.21  	1.29
32:51.2     	12:22:16.2         	-3.34 	91.27  	1.25
32:52.1     	12:22:17.1         	-3.35 	91.13  	1.18
32:53.0     	12:22:18.0         	-3.39 	90.77  	1.27
32:53.9     	12:22:18.9         	-3.45 	90.93  	1.42
32:54.8     	12:22:19.8         	-3.48 	91.20  	1.50
32:55.7     	12:22:20.7         	-3.48 	92.08  	1.31
32:56.5     	12:22:21.5         	-3.47 	91.73  	1.22
32:57.5     	12:22:22.5         	-3.49 	92.17  	1.20
32:58.4     	12:22:23.4         	-3.55 	92.11  	1.37
32:59.2     	12:22:24.2         	-3.60 	93.09  	1.37
33:00.2     	12:22:25.2         	-3.61 	93.05  	1.20
33:01.1     	12:22:26.1         	-3.60 	92.65  	1.07
33:02.0     	12:22:27.0         	-3.60 	92.26  	0.96
33:02.9     	12:22:27.9         	-3.64 	92.43  	0.97
33:03.8     	12:22:28.8         	-3.69 	92.34  	1.07
33:04.6     	12:22:29.6         	-3.74 	92.25  	1.23
33:05.6     	12:22:30.6         	-3.77 	92.57  	1.18
33:06.5     	12:22:31.5         	-3.76 	92.64  	1.08
33:07.3     	12:22:32.3         	-3.76 	92.89  	0.94
33:08.2     	12:22:33.2         	-3.82 	92.39  	1.06
33:09.1     	12:22:34.1         	-3.86 	93.03  	1.05
33:10.0     	12:22:35.0         	-3.87 	93.35  	0.92
33:10.9     	12:22:35.9         	-3.85 	93.31  	0.84
33:11.8     	12:22:36.8         	-3.87 	93.21  	0.87
33:12.7     	12:22:37.7         	-3.93 	93.34  	0.98
33:13.7     	12:22:38.7         	-3.98 	93.42  	1.14
33:14.6     	12:22:39.6         	-4.00 	94.21  	1.01
33:15.4     	12:22:40.4         	-4.00 	93.87  	0.92
33:16.3     	12:22:41.3         	-4.00 	93.87  	0.77
33:17.2     	12:22:42.2         	-4.00 	93.58  	0.51
33:18.1     	12:22:43.1         	-4.01 	93.30  	0.51
33:19.0     	12:22:44.0         	-4.01 	92.91  	0.46
33:19.9     	12:22:44.9         	-4.04 	93.25  	0.42
33:20.8     	12:22:45.8         	-4.09 	93.04  	0.52
33:21.7     	12:22:46.7         	-4.16 	93.34  	0.67
33:22.6     	12:22:47.6         	-4.21 	93.56  	0.92
33:23.4     	12:22:48.4         	-4.23 	94.41  	0.84
33:24.3     	12:22:49.3         	-4.24 	94.05  	0.69
33:25.2     	12:22:50.2         	-4.23 	92.97  	0.46
33:26.1     	12:22:51.1         	-4.22 	92.05  	0.44
33:27.1     	12:22:52.1         	-4.22 	91.67  	0.41
33:28.0     	12:22:53.0         	-4.25 	91.46  	0.44
33:28.9     	12:22:53.9         	-4.30 	91.55  	0.56
33:29.8     	12:22:54.8         	-4.34 	91.29  	0.67
33:30.7     	12:22:55.7         	-4.36 	91.62  	0.58
33:31.5     	12:22:56.5         	-4.34 	91.40  	0.46
33:32.4     	12:22:57.4         	-4.32 	90.98  	0.36
33:33.3     	12:22:58.3         	-4.34 	91.00  	0.39
33:34.2     	12:22:59.2         	-4.39 	91.08  	0.51
33:35.1     	12:23:00.1         	-4.44 	91.63  	0.58
33:36.0     	12:23:01.0         	-4.45 	92.04  	0.46
33:36.9     	12:23:01.9         	-4.45 	92.30  	0.27
33:37.8     	12:23:02.8         	-4.44 	92.20  	0.08
33:38.7     	12:23:03.7         	-4.44 	91.70  	0.01
33:39.5     	12:23:04.5         	-4.43 	91.46  	-0.07
33:40.4     	12:23:05.4         	-4.43 	91.02  	0.01
33:41.5     	12:23:06.5         	-4.42 	90.98  	0.01
33:42.3     	12:23:07.3         	-4.44 	90.83  	0.00
33:43.2     	12:23:08.2         	-4.47 	90.91  	-0.08
33:44.1     	12:23:09.1         	-4.49 	90.45  	-0.07
33:45.0     	12:23:10.0         	-4.51 	90.61  	-0.08
33:45.9     	12:23:10.9         	-4.51 	90.28  	-0.07
33:46.8     	12:23:11.8         	-4.51 	88.96  	0.06
33:47.6     	12:23:12.6         	-4.49 	88.96  	0.25
33:48.5     	12:23:13.5         	-4.47 	88.62  	0.41
33:49.5     	12:23:14.5         	-4.48 	88.38  	0.41
33:50.3     	12:23:15.3         	-4.50 	86.89  	0.47
33:51.2     	12:23:16.2         	-4.48 	84.92  	0.46
33:52.1     	12:23:17.1         	-4.46 	81.57  	0.49
33:53.0     	12:23:18.0         	-4.44 	78.75  	0.55
33:53.9     	12:23:18.9         	-4.41 	74.94  	0.56
33:54.9     	12:23:19.9         	-4.37 	72.34  	0.53
33:55.7     	12:23:20.7         	-4.33 	69.75  	0.42
33:56.6     	12:23:21.6         	-4.29 	66.87  	0.47
33:57.5     	12:23:22.5         	-4.24 	65.06  	0.47
33:58.4     	12:23:23.4         	-4.22 	63.93  	0.55
33:59.3     	12:23:24.3         	-4.20 	64.19  	0.54
34:00.2     	12:23:25.2         	-4.20 	65.43  	0.52
34:01.1     	12:23:26.1         	-4.21 	67.63  	0.56
34:02.0     	12:23:27.0         	-4.29 	69.52  	0.69
34:02.9     	12:23:27.9         	-4.32 	70.42  	0.78
34:03.7     	12:23:28.7         	-4.32 	73.09  	0.61
34:04.7     	12:23:29.7         	-4.29 	73.83  	0.52
34:05.6     	12:23:30.6         	-4.29 	79.51  	0.38
34:06.4     	12:23:31.4         	-4.33 	81.67  	0.42
34:07.3     	12:23:32.3         	-4.36 	83.16  	0.44
34:08.2     	12:23:33.2         	-4.37 	82.71  	0.56
34:09.2     	12:23:34.2         	-4.37 	82.44  	0.52
34:10.1     	12:23:35.1         	-4.36 	81.98  	0.46
34:11.0     	12:23:36.0         	-4.34 	82.29  	0.33
34:11.8     	12:23:36.8         	-4.32 	81.77  	0.34
34:12.7     	12:23:37.7         	-4.31 	81.80  	0.26
34:13.7     	12:23:38.7         	-4.35 	82.65  	0.31
34:14.5     	12:23:39.5         	-4.40 	82.81  	0.33
34:15.4     	12:23:40.4         	-4.43 	81.02  	0.47
34:16.3     	12:23:41.3         	-4.44 	80.61  	0.54
34:17.2     	12:23:42.2         	-4.44 	80.96  	0.59
34:18.1     	12:23:43.1         	-4.43 	81.80  	0.45
34:19.0     	12:23:44.0         	-4.41 	82.30  	0.27
34:19.9     	12:23:44.9         	-4.41 	82.95  	0.15
34:20.8     	12:23:45.8         	-4.44 	83.27  	0.18
34:21.8     	12:23:46.8         	-4.49 	83.57  	0.40
34:22.6     	12:23:47.6         	-4.53 	84.53  	0.41
34:23.5     	12:23:48.5         	-4.56 	84.90  	0.33
34:24.4     	12:23:49.4         	-4.56 	84.89  	0.26
34:25.3     	12:23:50.3         	-4.60 	84.81  	0.26
34:26.2     	12:23:51.2         	-4.60 	84.89  	0.24
34:27.1     	12:23:52.1         	-4.64 	84.97  	0.31
34:28.0     	12:23:53.0         	-4.67 	85.07  	0.38
34:28.9     	12:23:53.9         	-4.69 	85.35  	0.39
34:30.2     	12:23:55.2         	-4.72 	85.64  	0.40
34:30.4     	12:23:55.4         	-4.72 	85.64  	0.40
34:30.6     	12:23:55.6         	-4.72 	85.64  	0.31
34:31.5     	12:23:56.5         	-4.76 	85.44  	0.17
34:32.4     	12:23:57.4         	-4.77 	85.61  	-0.10
34:33.3     	12:23:58.3         	-4.73 	84.59  	-0.21
34:34.2     	12:23:59.2         	-4.71 	84.34  	-0.24
34:35.1     	12:24:00.1         	-4.69 	83.68  	-0.20
34:36.1     	12:24:01.1         	-4.69 	83.72  	-0.32
34:37.0     	12:24:02.0         	-4.71 	83.16  	-0.33
34:37.9     	12:24:02.9         	-4.72 	83.29  	-0.46
34:38.7     	12:24:03.7         	-4.76 	82.96  	-0.45
34:39.6     	12:24:04.6         	-4.80 	82.93  	-0.39
34:40.5     	12:24:05.5         	-4.84 	83.05  	-0.29
34:41.4     	12:24:06.4         	-4.88 	82.90  	-0.16
34:42.3     	12:24:07.3         	-4.91 	83.16  	-0.04
34:43.2     	12:24:08.2         	-4.93 	82.63  	-0.01
34:44.1     	12:24:09.1         	-4.96 	82.63  	0.01
34:45.0     	12:24:10.0         	-4.99 	82.24  	0.11
34:45.9     	12:24:10.9         	-5.02 	82.47  	0.06
34:46.7     	12:24:11.7         	-5.05 	81.32  	0.02
34:47.6     	12:24:12.6         	-5.08 	81.08  	-0.14
34:48.5     	12:24:13.5         	-5.07 	78.45  	-0.31
34:49.4     	12:24:14.4         	-5.06 	76.01  	-0.39
34:50.4     	12:24:15.4         	-5.08 	74.53  	-0.24
34:51.3     	12:24:16.3         	-5.09 	74.19  	-0.17
34:52.2     	12:24:17.2         	-5.08 	73.70  	-0.20
34:53.1     	12:24:18.1         	-5.11 	73.54  	-0.29
34:54.0     	12:24:19.0         	-5.13 	73.22  	-0.20
34:54.8     	12:24:19.8         	-5.15 	73.68  	-0.35
34:55.7     	12:24:20.7         	-5.16 	73.26  	-0.34
34:56.6     	12:24:21.6         	-5.17 	73.15  	-0.32
34:57.5     	12:24:22.5         	-5.20 	73.47  	-0.40
34:58.4     	12:24:23.4         	-5.18 	72.86  	-0.52
34:59.3     	12:24:24.3         	-5.13 	72.80  	-0.64
35:00.2     	12:24:25.2         	-5.12 	72.97  	-0.67
35:01.1     	12:24:26.1         	-5.14 	72.70  	-0.39
35:02.0     	12:24:27.0         	-5.16 	73.32  	-0.20
35:02.9     	12:24:27.9         	-5.18 	74.34  	-0.09
35:03.8     	12:24:28.8         	-5.18 	74.01  	-0.27
35:04.8     	12:24:29.8         	-5.16 	73.94  	-0.41
35:05.6     	12:24:30.6         	-5.13 	74.04  	-0.58
35:06.5     	12:24:31.5         	-5.14 	74.12  	-0.66
35:07.4     	12:24:32.4         	-5.14 	74.17  	-0.68
35:08.3     	12:24:33.3         	-5.17 	75.11  	-0.65
35:09.2     	12:24:34.2         	-5.20 	75.62  	-0.56
