Time [mm:ss]	UTC Time [hh:mm:ss]	Range [m]	Vertical Speed [m/s]	Horizontal Speed [m/s]	Longitude [°]	Latitude [°]	Altitude [m]
00:07.6     	12:07:49.2         	211482.9 	0.0                 	0.1                   	-87.61425    	41.8664     	185.5
00:08.4     	12:07:50.0         	211482.9 	0.1                 	0.1                   	-87.61424    	41.8664     	185.8
00:09.6     	12:07:51.2         	211482.8 	0.1                 	0.2                   	-87.61424    	41.8664     	185.9
00:10.5     	12:07:52.1         	211482.6 	0.3                 	0.1                   	-87.61424    	41.8664     	186.2
00:11.6     	12:07:53.2         	211482.5 	0.1                 	0.0                   	-87.61424    	41.8664     	186.5
00:12.5     	12:07:54.1         	0.5      	0.6                 	1.7                   	-87.61425    	41.8664     	187.0
00:13.6     	12:07:55.2         	1.4      	0.6                 	0.3                   	-87.61427    	41.8664     	186.6
00:14.5     	12:07:56.1         	1.6      	0.5                 	0.1                   	-87.61427    	41.8664     	186.2
00:15.4     	12:07:57.1         	2.7      	1.1                 	0.4                   	-87.61426    	41.8664     	189.1
00:16.5     	12:07:58.2         	3.0      	0.0                 	0.4                   	-87.61426    	41.8664     	189.4
00:17.4     	12:07:59.1         	3.0      	0.1                 	0.1                   	-87.61426    	41.8664     	189.4
00:18.5     	12:08:00.2         	---      	---                 	---                   	---          	---         	---
00:19.4     	12:08:01.1         	2.3      	0.1                 	0.1                   	-87.61426    	41.8664     	188.7
00:20.6     	12:08:02.2         	1.8      	-0.2                	0.1                   	-87.61426    	41.8664     	188.3
00:21.5     	12:08:03.1         	1.8      	0.1                 	0.2                   	-87.61426    	41.8664     	188.3
00:22.6     	12:08:04.2         	1.8      	0.6                 	0.4                   	-87.61426    	41.8664     	188.4
00:23.5     	12:08:05.1         	1.9      	0.2                 	0.1                   	-87.61426    	41.8664     	188.3
00:24.6     	12:08:06.2         	1.9      	0.3                 	0.3                   	-87.61426    	41.8664     	187.8
00:25.5     	12:08:07.1         	2.2      	0.3                 	0.0                   	-87.61427    	41.8664     	186.9
00:26.6     	12:08:08.2         	2.2      	0.9                 	0.5                   	-87.61427    	41.8664     	186.6
00:27.5     	12:08:09.1         	2.2      	0.5                 	0.2                   	-87.61427    	41.8664     	186.4
00:28.4     	12:08:10.0         	2.2      	0.2                 	0.1                   	-87.61427    	41.8664     	186.1
00:29.5     	12:08:11.2         	2.1      	0.6                 	0.3                   	-87.61427    	41.8664     	186.6
00:30.4     	12:08:12.1         	2.3      	0.5                 	0.3                   	-87.61426    	41.8664     	187.0
00:31.5     	12:08:13.2         	2.7      	0.4                 	0.0                   	-87.61427    	41.8664     	186.3
00:32.4     	12:08:14.1         	3.1      	0.1                 	0.1                   	-87.61427    	41.8664     	186.0
00:33.5     	12:08:15.2         	3.4      	-0.1                	0.1                   	-87.61427    	41.8664     	185.7
00:34.5     	12:08:16.1         	3.9      	0.1                 	0.1                   	-87.61427    	41.8664     	185.1
