Time[sec]	Pressure[mbar]	T[°C] 	U[%]	Geo Pot[m]	Dew [°C]	RI    	GRI     	MRI    	CL [m/s]	D [g/m3]	VP [mbar]	Pot Te [°C]	Vi Te [°C]	Spec U [g/kg]	UTC Time [sec]	Wsp [m/s]	Wdir [°]	N/S Wind [m/s]	E/W Wind [m/s]	Vert Wind [m/s]	Lon [°]    	Lat [°]   	Geometric Height [m]
00000.0  	  996.0       	  34.3	  55	   189    	  23.9  	 253.6	   ///./	  253.6	 351.7  	 1128.8 	 29.8    	   39.0    	  37.8    	 18.81       	 63008.4      	   0.4   	 045    	 ////./       	 ////./       	 ////./        	  -87.61429	  41.86641	   189.0
00001.0  	  995.9       	  34.1	 ///	   191    	 ///./  	 ///./	   ///./	 ////./	 351.6  	 1129.6 	 //./    	   38.8    	 ///./    	 //.//       	 63009.4      	   0.0   	 360    	 ////./       	 ////./       	 ////./        	  -87.61428	  41.86640	   190.6
00002.0  	  995.9       	  33.8	 ///	   192    	 ///./  	 ///./	   ///./	 ////./	 351.4  	 1130.4 	 //./    	   38.5    	 ///./    	 //.//       	 63010.4      	   0.0   	 045    	 ////./       	 ////./       	 ////./        	  -87.61428	  41.86638	   192.3
00003.0  	  995.8       	  33.6	 ///	   193    	 ///./  	 ///./	   ///./	 ////./	 351.3  	 1131.2 	 //./    	   38.3    	 ///./    	 //.//       	 63011.4      	   0.0   	 045    	 ////./       	 ////./       	 ////./        	  -87.61427	  41.86637	   193.0
00004.0  	  995.7       	  33.3	 ///	   193    	 ///./  	 ///./	   ///./	 ////./	 351.2  	 1132.0 	 //./    	   38.0    	 ///./    	 //.//       	 63012.4      	   0.0   	 045    	 ////./       	 ////./       	 ////./        	  -87.61427	  41.86635	   192.8
00005.0  	  995.7       	  33.1	 ///	   193    	 ///./  	 ///./	   ///./	 ////./	 351.0  	 1132.8 	 //./    	   37.8    	 ///./    	 //.//       	 63013.4      	   0.1   	 045    	 ////./       	 ////./       	 ////./        	  -87.61426	  41.86634	   192.7
00006.0  	  995.6       	  32.9	 ///	   192    	 ///./  	 ///./	   ///./	 ////./	 350.9  	 1133.6 	 //./    	   37.6    	 ///./    	 //.//       	 63014.4      	   0.1   	 045    	 ////./       	 ////./       	 ////./        	  -87.61426	  41.86633	   192.5
00007.0  	  995.6       	  32.6	 ///	   192    	 ///./  	 ///./	   ///./	 ////./	 350.7  	 1134.5 	 //./    	   37.3    	 ///./    	 //.//       	 63015.4      	   0.2   	 049    	 ////./       	 ////./       	 ////./        	  -87.61425	  41.86631	   192.4
00008.0  	  995.6       	  32.4	 ///	   192    	 ///./  	 ///./	   ///./	 ////./	 350.6  	 1135.4 	 //./    	   37.1    	 ///./    	 //.//       	 63016.4      	   0.2   	 051    	 ////./       	 ////./       	 ////./        	  -87.61425	  41.86630	   192.3
00009.0  	  995.7       	  32.2	 ///	   192    	 ///./  	 ///./	   ///./	 ////./	 350.5  	 1136.3 	 //./    	   36.8    	 ///./    	 //.//       	 63017.4      	   0.3   	 051    	 ////./       	 ////./       	 ////./        	  -87.61424	  41.86629	   192.1
