,Time[sec],Pressure[mbar],T[°C] ,U[%],Geo Pot[m],Dew [°C],RI    ,GRI     ,MRI    ,CL [m/s],D [g/m3],VP [mbar],Pot Te [°C],Vi Te [°C],Spec U [g/kg],UTC Time [sec],Wsp [m/s],Wdir [°],N/S Wind [m/s],E/W Wind [m/s],Vert Wind [m/s],Lon [°]    ,Lat [°]   ,Geometric Height [m]
0,0.0,996.0,34.3,  55,189,  23.9  , 253.6,   ///./,  253.6,351.7,1128.8, 29.8    ,39.0,  37.8    , 18.81       ,63008.4,0.4,45, ////./       , ////./       , ////./        ,-87.61429,41.86641,189.0
1,1.0,995.9,34.1, ///,191, ///./  , ///./,   ///./, ////./,351.6,1129.6, //./    ,38.8, ///./    , //.//       ,63009.4,0.0,360, ////./       , ////./       , ////./        ,-87.61428,41.8664,190.6
2,2.0,995.9,33.8, ///,192, ///./  , ///./,   ///./, ////./,351.4,1130.4, //./    ,38.5, ///./    , //.//       ,63010.4,0.0,45, ////./       , ////./       , ////./        ,-87.61428,41.86638,192.3
3,3.0,995.8,33.6, ///,193, ///./  , ///./,   ///./, ////./,351.3,1131.2, //./    ,38.3, ///./    , //.//       ,63011.4,0.0,45, ////./       , ////./       , ////./        ,-87.61427,41.86637,193.0
4,4.0,995.7,33.3, ///,193, ///./  , ///./,   ///./, ////./,351.2,1132.0, //./    ,38.0, ///./    , //.//       ,63012.4,0.0,45, ////./       , ////./       , ////./        ,-87.61427,41.86635,192.8
5,5.0,995.7,33.1, ///,193, ///./  , ///./,   ///./, ////./,351.0,1132.8, //./    ,37.8, ///./    , //.//       ,63013.4,0.1,45, ////./       , ////./       , ////./        ,-87.61426,41.86634,192.7
6,6.0,995.6,32.9, ///,192, ///./  , ///./,   ///./, ////./,350.9,1133.6, //./    ,37.6, ///./    , //.//       ,63014.4,0.1,45, ////./       , ////./       , ////./        ,-87.61426,41.86633,192.5
7,7.0,995.6,32.6, ///,192, ///./  , ///./,   ///./, ////./,350.7,1134.5, //./    ,37.3, ///./    , //.//       ,63015.4,0.2,49, ////./       , ////./       , ////./        ,-87.61425,41.86631,192.4
8,8.0,995.6,32.4, ///,192, ///./  , ///./,   ///./, ////./,350.6,1135.4, //./    ,37.1, ///./    , //.//       ,63016.4,0.2,51, ////./       , ////./       , ////./        ,-87.61425,41.8663,192.3
9,9.0,995.7,32.2, ///,192, ///./  , ///./,   ///./, ////./,350.5,1136.3, //./    ,36.8, ///./    , //.//       ,63017.4,0.3,51, ////./       , ////./       , ////./        ,-87.61424,41.86629,192.1
10,10.0,995.7,31.9, ///,192, ///./  , ///./,   ///./, ////./,350.3,1137.2, //./    ,36.6, ///./    , //.//       ,63018.4,0.4,52, ////./       , ////./       , ////./        ,-87.61423,41.86627,191.9
11,11.0,995.7,31.7, ///,192, ///./  , ///./,   ///./, ////./,350.2,1138.1, //./    ,36.4, ///./    , //.//       ,63019.4,0.5,52, ////./       , ////./       , ////./        ,-87.61423,41.86626,191.8
12,12.0,995.7,31.4, ///,192, ///./  , ///./,   ///./, ////./,350.1,1139.0, //./    ,36.1, ///./    , //.//       ,63020.4,0.6,52, ////./       , ////./       , ////./        ,-87.61422,41.86625,191.6
13,13.0,995.5,31.2, ///,191, ///./  , ///./,   ///./, ////./,349.9,1139.7, //./    ,35.9, ///./    , //.//       ,63021.4,0.7,52, ////./       , ////./       , ////./        ,-87.61422,41.86623,191.6
14,14.0,995.4,31.0, ///,193, ///./  , ///./,   ///./, ////./,349.8,1140.4, //./    ,35.7, ///./    , //.//       ,63022.4,0.8,52, ////./       , ////./       , ////./        ,-87.61421,41.86622,193.5
15,15.0,995.2,30.7, ///,195, ///./  , ///./,   ///./, ////./,349.7,1141.1, //./    ,35.4, ///./    , //.//       ,63023.4,0.8,52, ////./       , ////./       , ////./        ,-87.61421,41.8662,195.4
16,16.0,995.0,30.5, ///,197, ///./  , ///./,   ///./, ////./,349.5,1141.8, //./    ,35.2, ///./    , //.//       ,63024.4,1.0,53, ////./       , ////./       , ////./        ,-87.61423,41.86619,197.3
17,17.0,994.8,30.3, ///,199, ///./  , ///./,   ///./, ////./,349.4,1142.5, //./    ,35.0, ///./    , //.//       ,63025.4,1.1,53, ////./       , ////./       , ////./        ,-87.61426,41.86617,199.2
18,18.0,994.7,30.0, ///,201, ///./  , ///./,   ///./, ////./,349.2,1143.1, //./    ,34.8, ///./    , //.//       ,63026.4,1.3,54, ////./       , ////./       , ////./        ,-87.61428,41.86616,201.1
19,19.0,994.3,29.8, ///,204, ///./  , ///./,   ///./, ////./,349.1,1143.6, //./    ,34.6, ///./    , //.//       ,63027.4,1.4,54, ////./       , ////./       , ////./        ,-87.61431,41.86614,203.9
20,20.0,993.9,29.5, ///,207, ///./  , ///./,   ///./, ////./,349.0,1144.1, //./    ,34.3, ///./    , //.//       ,63028.4,1.5,54, ////./       , ////./       , ////./        ,-87.61434,41.86613,207.5
21,21.0,993.5,29.3, ///,211, ///./  , ///./,   ///./, ////./,348.8,1144.5, //./    ,34.1, ///./    , //.//       ,63029.4,1.7,55, ////./       , ////./       , ////./        ,-87.61436,41.86611,211.0
22,22.0,993.1,29.1, ///,214, ///./  , ///./,   ///./, ////./,348.7,1145.0, //./    ,33.9, ///./    , //.//       ,63030.4,1.8,55, ////./       , ////./       , ////./        ,-87.61439,41.8661,214.5
23,23.0,992.8,28.8, ///,218, ///./  , ///./,   ///./, ////./,348.6,1145.5, //./    ,33.7, ///./    , //.//       ,63031.4,1.9,55, ////./       , ////./       , ////./        ,-87.61442,41.86608,218.0
24,24.0,992.4,28.6, ///,221, ///./  , ///./,   ///./, ////./,348.4,1145.9, //./    ,33.5, ///./    , //.//       ,63032.4,2.1,55, ////./       , ////./       , ////./        ,-87.61445,41.86607,221.6
25,25.0,992.0,28.4, ///,225, ///./  , ///./,   ///./, ////./,348.3,1146.4, //./    ,33.3, ///./    , //.//       ,63033.4,2.2,55, ////./       , ////./       , ////./        ,-87.61447,41.86605,225.2
26,26.0,991.6,28.1, ///,229, ///./  , ///./,   ///./, ////./,348.1,1146.9, //./    ,33.1, ///./    , //.//       ,63034.4,2.4,55, ////./       , ////./       , ////./        ,-87.6145,41.86604,228.8
27,27.0,991.2,27.9, ///,232, ///./  , ///./,   ///./, ////./,348.0,1147.3, //./    ,32.9, ///./    , //.//       ,63035.4,2.5,55, ////./       , ////./       , ////./        ,-87.61453,41.86602,232.5
