Time [mm:ss]	UTC Time [hh:mm:ss]	Range [m]	Vertical Speed [m/s]	Horizontal Speed [m/s]	Longitude [°]	Latitude [°]	Altitude [m]
00:06.8     	00:10:18.2         	211480.6 	0.4                 	0.2                   	-87.61424    	41.8664     	190.3
00:07.7     	00:10:19.1         	211480.7 	0.4                 	0.0                   	-87.61424    	41.8664     	190.4
00:08.9     	00:10:20.2         	211480.8 	0.0                 	0.2                   	-87.61424    	41.8664     	190.5
00:09.8     	00:10:21.1         	211480.9 	0.2                 	0.1                   	-87.61424    	41.8664     	190.7
00:10.9     	00:10:22.2         	211480.9 	0.0                 	0.1                   	-87.61424    	41.8664     	190.7
00:11.8     	00:10:23.1         	0.5      	0.0                 	0.2                   	-87.61424    	41.8664     	190.6
00:12.9     	00:10:24.2         	0.5      	0.3                 	0.0                   	-87.61424    	41.8664     	190.5
00:13.8     	00:10:25.1         	0.5      	0.0                 	0.1                   	-87.61424    	41.8664     	190.4
00:14.9     	00:10:26.2         	0.9      	-0.3                	0.1                   	-87.61424    	41.8664     	189.9
00:15.8     	00:10:27.1         	1.0      	0.1                 	0.3                   	-87.61424    	41.8664     	189.7
01:21.8     	00:11:33.1         	5.6      	0.3                 	0.0                   	-87.61426    	41.8664     	194.4
01:22.9     	00:11:34.2         	5.6      	0.1                 	0.0                   	-87.61426    	41.8664     	194.5
01:23.8     	00:11:35.1         	5.6      	0.2                 	0.0                   	-87.61426    	41.8664     	194.4
01:24.7     	00:11:36.0         	5.6      	0.4                 	0.1                   	-87.61426    	41.8664     	194.4
01:25.8     	00:11:37.1         	5.5      	0.2                 	0.1                   	-87.61426    	41.8664     	194.2
01:26.7     	00:11:38.0         	5.4      	0.2                 	0.0                   	-87.61426    	41.8664     	193.9
01:27.8     	00:11:39.1         	5.3      	0.2                 	0.1                   	-87.61426    	41.8664     	193.7
01:28.7     	00:11:40.0         	5.3      	0.0                 	0.1                   	-87.61426    	41.8664     	193.7
01:29.8     	00:11:41.1         	5.3      	0.0                 	0.0                   	-87.61426    	41.8664     	193.6
01:30.7     	00:11:42.0         	5.3      	0.0                 	0.0                   	-87.61426    	41.8664     	193.5
01:31.8     	00:11:43.1         	5.2      	0.0                 	0.0                   	-87.61426    	41.8664     	193.3
01:32.7     	00:11:44.1         	5.2      	0.0                 	0.0                   	-87.61426    	41.8664     	193.2
01:33.8     	00:11:45.2         	5.1      	0.0                 	0.1                   	-87.61426    	41.8664     	193.1
01:34.8     	00:11:46.1         	5.0      	0.0                 	0.0                   	-87.61426    	41.8664     	193.0
01:35.9     	00:11:47.2         	5.0      	0.1                 	0.0                   	-87.61426    	41.8664     	192.9
01:36.8     	00:11:48.1         	5.0      	0.2                 	0.0                   	-87.61426    	41.8664     	192.9
01:37.7     	00:11:49.0         	5.0      	0.1                 	0.0                   	-87.61426    	41.8664     	192.9
01:38.8     	00:11:50.1         	5.0      	0.0                 	0.0                   	-87.61426    	41.8664     	192.9
01:39.7     	00:11:51.0         	5.0      	0.0                 	0.1                   	-87.61426    	41.8664     	192.8
01:40.8     	00:11:52.1         	5.0      	-0.1                	0.1                   	-87.61426    	41.8664     	192.6
01:41.7     	00:11:53.0         	4.9      	0.0                 	0.0                   	-87.61427    	41.8664     	192.4
01:42.8     	00:11:54.1         	4.9      	0.1                 	0.0                   	-87.61427    	41.8664     	192.4
01:43.7     	00:11:55.0         	4.9      	0.1                 	0.0                   	-87.61427    	41.8664     	192.5
01:44.9     	00:11:56.2         	4.8      	0.1                 	0.0                   	-87.61427    	41.8664     	192.5
01:45.7     	00:11:57.0         	4.8      	0.0                 	0.0                   	-87.61426    	41.8664     	192.6
01:46.9     	00:11:58.2         	4.8      	0.0                 	0.0                   	-87.61426    	41.8664     	192.8
01:47.7     	00:11:59.1         	4.8      	0.0                 	0.0                   	-87.61426    	41.8664     	192.9
01:48.9     	00:12:00.3         	4.8      	0.1                 	0.0                   	-87.61426    	41.8664     	192.9
01:49.8     	00:12:01.1         	4.8      	0.1                 	0.1                   	-87.61426    	41.8664     	193.0
01:51.0     	00:12:02.3         	4.8      	0.1                 	0.0                   	-87.61426    	41.8664     	193.1
01:51.8     	00:12:03.1         	4.8      	0.0                 	0.0                   	-87.61426    	41.8664     	193.2
01:52.7     	00:12:04.0         	4.8      	0.0                 	0.0                   	-87.61427    	41.8664     	193.3
01:53.8     	00:12:05.1         	4.9      	0.3                 	0.0                   	-87.61427    	41.8664     	193.4
01:54.7     	00:12:06.0         	4.9      	0.1                 	0.0                   	-87.61427    	41.8664     	193.5
01:55.8     	00:12:07.1         	4.9      	0.1                 	0.0                   	-87.61427    	41.8664     	193.5
01:56.7     	00:12:08.0         	4.8      	0.1                 	0.1                   	-87.61427    	41.8664     	193.5
01:57.8     	00:12:09.1         	4.8      	0.0                 	0.0                   	-87.61427    	41.8664     	193.5
01:58.7     	00:12:10.0         	4.8      	0.1                 	0.1                   	-87.61427    	41.8664     	193.5
01:59.8     	00:12:11.1         	4.9      	-0.1                	0.1                   	-87.61427    	41.8664     	193.5
02:00.7     	00:12:12.0         	4.8      	0.0                 	0.0                   	-87.61427    	41.8664     	193.4
02:01.8     	00:12:13.2         	4.7      	0.0                 	0.0                   	-87.61427    	41.8664     	193.2
02:02.7     	00:12:14.1         	4.7      	0.0                 	0.1                   	-87.61427    	41.8664     	193.1
02:03.9     	00:12:15.2         	4.7      	0.1                 	0.1                   	-87.61427    	41.8664     	193.1
02:04.8     	00:12:16.1         	4.6      	-0.1                	0.1                   	-87.61427    	41.8664     	192.9
02:05.7     	00:12:17.0         	4.6      	0.1                 	0.0                   	-87.61427    	41.8664     	192.8
02:06.8     	00:12:18.1         	4.6      	0.0                 	0.1                   	-87.61427    	41.8664     	192.8
02:07.7     	00:12:19.0         	4.6      	0.0                 	0.0                   	-87.61427    	41.8664     	192.7
02:08.8     	00:12:20.1         	4.6      	0.0                 	0.1                   	-87.61427    	41.8664     	192.7
02:09.7     	00:12:21.0         	4.6      	0.0                 	0.0                   	-87.61427    	41.8664     	192.6
02:10.8     	00:12:22.1         	4.6      	0.1                 	0.1                   	-87.61427    	41.8664     	192.5
02:11.7     	00:12:23.0         	4.6      	0.0                 	0.0                   	-87.61427    	41.8664     	192.4
02:12.8     	00:12:24.1         	4.5      	0.0                 	0.0                   	-87.61427    	41.8664     	192.3
02:13.7     	00:12:25.0         	4.4      	0.0                 	0.0                   	-87.61427    	41.8664     	192.2
02:14.8     	00:12:26.1         	4.4      	0.1                 	0.1                   	-87.61427    	41.8664     	192.1
02:15.7     	00:12:27.1         	4.4      	0.0                 	0.0                   	-87.61426    	41.8664     	192.2
02:16.9     	00:12:28.2         	4.6      	0.0                 	0.1                   	-87.61426    	41.8664     	192.2
02:17.8     	00:12:29.1         	4.7      	0.1                 	0.0                   	-87.61427    	41.8664     	192.2
02:18.9     	00:12:30.2         	4.9      	0.2                 	0.0                   	-87.61427    	41.8664     	192.3
02:19.8     	00:12:31.1         	5.0      	-0.1                	0.1                   	-87.61427    	41.8664     	192.2
02:20.7     	00:12:32.0         	5.1      	0.0                 	0.1                   	-87.61427    	41.8664     	192.2
02:21.8     	00:12:33.1         	5.2      	0.1                 	0.0                   	-87.61427    	41.8664     	192.2
02:22.7     	00:12:34.0         	5.2      	0.1                 	0.1                   	-87.61427    	41.8664     	192.3
02:23.8     	00:12:35.1         	5.3      	0.1                 	0.1                   	-87.61427    	41.8664     	192.4
02:24.8     	00:12:36.1         	5.3      	0.0                 	0.2                   	-87.61427    	41.8664     	192.3
02:25.8     	00:12:37.1         	5.5      	0.0                 	0.0                   	-87.61427    	41.8664     	192.3
02:26.8     	00:12:38.1         	5.4      	-0.1                	0.0                   	-87.61427    	41.8664     	192.2
02:27.8     	00:12:39.1         	5.4      	0.1                 	0.0                   	-87.61427    	41.8664     	192.1
02:28.8     	00:12:40.1         	5.3      	0.1                 	0.1                   	-87.61427    	41.8664     	192.0
02:29.9     	00:12:41.3         	5.3      	0.0                 	0.0                   	-87.61427    	41.8664     	192.0
02:30.9     	00:12:42.2         	5.3      	0.0                 	0.0                   	-87.61427    	41.8664     	191.9
02:32.0     	00:12:43.3         	5.3      	0.1                 	0.0                   	-87.61427    	41.8664     	191.9
02:32.9     	00:12:44.2         	5.3      	0.0                 	0.0                   	-87.61427    	41.8664     	192.0
02:33.7     	00:12:45.0         	5.3      	0.0                 	0.1                   	-87.61427    	41.8664     	191.9
02:34.9     	00:12:46.2         	5.3      	0.0                 	0.0                   	-87.61427    	41.8664     	191.9
02:35.7     	00:12:47.0         	5.4      	0.1                 	0.0                   	-87.61427    	41.8664     	192.0
02:36.9     	00:12:48.2         	5.5      	0.0                 	0.0                   	-87.61427    	41.8664     	192.2
02:37.7     	00:12:49.0         	5.6      	0.0                 	0.0                   	-87.61427    	41.8664     	192.3
02:38.9     	00:12:50.2         	5.7      	0.1                 	0.0                   	-87.61427    	41.8664     	192.4
02:39.7     	00:12:51.0         	5.7      	0.0                 	0.0                   	-87.61427    	41.8664     	192.5
02:40.9     	00:12:52.2         	5.7      	-0.1                	0.0                   	-87.61427    	41.8664     	192.4
02:41.7     	00:12:53.0         	5.7      	0.0                 	0.1                   	-87.61427    	41.8664     	192.3
02:42.9     	00:12:54.2         	5.6      	0.0                 	0.0                   	-87.61427    	41.8664     	192.3
02:43.7     	00:12:55.1         	5.6      	0.0                 	0.1                   	-87.61427    	41.8664     	192.2
02:44.9     	00:12:56.3         	5.5      	0.0                 	0.0                   	-87.61427    	41.8664     	192.3
02:45.8     	00:12:57.1         	5.5      	-0.1                	0.1                   	-87.61427    	41.8664     	192.3
02:47.0     	00:12:58.3         	5.5      	0.1                 	0.1                   	-87.61427    	41.8664     	192.4
02:47.8     	00:12:59.1         	5.6      	0.1                 	0.0                   	-87.61427    	41.8664     	192.3
02:48.7     	00:13:00.0         	5.6      	0.0                 	0.1                   	-87.61427    	41.8664     	192.3
02:49.8     	00:13:01.1         	5.6      	0.0                 	0.1                   	-87.61427    	41.8664     	192.2
02:50.7     	00:13:02.0         	5.7      	0.2                 	0.0                   	-87.61427    	41.8664     	192.3
02:51.8     	00:13:03.1         	5.7      	0.0                 	0.0                   	-87.61427    	41.8664     	192.3
02:52.7     	00:13:04.0         	5.7      	0.1                 	0.1                   	-87.61427    	41.8664     	192.2
02:53.8     	00:13:05.1         	5.7      	0.2                 	0.1                   	-87.61427    	41.8664     	192.3
02:54.8     	00:13:06.1         	5.6      	0.1                 	0.0                   	-87.61427    	41.8664     	192.2
02:55.8     	00:13:07.1         	5.6      	0.1                 	0.0                   	-87.61427    	41.8664     	192.1
02:56.8     	00:13:08.1         	5.5      	0.1                 	0.1                   	-87.61427    	41.8664     	192.0
02:57.8     	00:13:09.1         	5.5      	0.0                 	0.0                   	-87.61426    	41.8664     	192.0
02:58.8     	00:13:10.1         	5.4      	0.1                 	0.1                   	-87.61426    	41.8664     	191.9
02:59.9     	00:13:11.2         	5.4      	0.1                 	0.0                   	-87.61426    	41.8664     	191.8
03:00.8     	00:13:12.2         	5.3      	0.0                 	0.0                   	-87.61426    	41.8664     	191.8
03:01.9     	00:13:13.3         	5.2      	0.0                 	0.0                   	-87.61426    	41.8664     	191.7
03:02.9     	00:13:14.2         	5.0      	0.0                 	0.0                   	-87.61426    	41.8664     	191.8
03:03.8     	00:13:15.1         	4.9      	0.0                 	0.0                   	-87.61426    	41.8664     	191.8
03:04.9     	00:13:16.2         	4.9      	0.1                 	0.0                   	-87.61426    	41.8664     	191.8
03:06.9     	00:13:18.2         	190.3    	0.0                 	0.0                   	-87.61426    	41.8664     	0.0
03:07.8     	00:13:19.1         	4.6      	0.0                 	0.1                   	-87.61426    	41.8664     	191.6
03:08.9     	00:13:20.2         	4.5      	0.1                 	0.1                   	-87.61426    	41.8664     	191.6
03:09.8     	00:13:21.1         	4.4      	0.0                 	0.1                   	-87.61426    	41.8664     	191.5
03:10.9     	00:13:22.2         	4.3      	-0.1                	0.0                   	-87.61426    	41.8664     	191.3
03:11.8     	00:13:23.1         	4.2      	0.1                 	0.1                   	-87.61426    	41.8664     	191.2
03:12.9     	00:13:24.2         	4.1      	0.0                 	0.1                   	-87.61426    	41.8664     	191.0
03:13.8     	00:13:25.1         	4.2      	0.1                 	0.1                   	-87.61426    	41.8664     	190.8
03:14.9     	00:13:26.2         	4.2      	0.2                 	0.0                   	-87.61426    	41.8664     	190.8
03:15.8     	00:13:27.1         	4.2      	0.1                 	0.0                   	-87.61426    	41.8664     	190.7
