,Time[sec],Pressure[mbar],T[°C] ,U[%],Geo Pot[m],Dew [°C],RI    ,GRI     ,MRI    ,CL [m/s],D [g/m3],VP [mbar],Pot Te [°C],Vi Te [°C],Spec U [g/kg],UTC Time [sec],Wsp [m/s],Wdir [°],N/S Wind [m/s],E/W Wind [m/s],Vert Wind [m/s],Lon [°]    ,Lat [°]   ,Geometric Height [m]
0,0.0,994.7,24.8,68,189,18.5,261.9,   ///./,261.9,346.2,1163.2,21.3,29.5,27.2,13.44,1431.2,1.0,45, ////./       , ////./       , ////./        ,-87.61424,41.86637,189.0
1,1.0,994.5,24.5,68,189,18.2,262.2,   ///./,262.1,346.0,1164.2,21.0,29.2,26.9,13.23,1432.2,0.4,21, ////./       , ////./       , ////./        ,-87.61425,41.86635,188.8
2,2.0,994.4,24.2,68,189,18.0,262.4,   ///./,262.5,345.9,1165.2,20.7,28.9,26.5,13.03,1433.2,0.5,23, ////./       , ////./       , ////./        ,-87.61425,41.86633,189.5
3,3.0,994.2,23.9,69,191,17.7,262.6,   ///./,263.0,345.7,1166.3,20.3,28.6,26.2,12.83,1434.2,0.5,26, ////./       , ////./       , ////./        ,-87.61425,41.86631,191.5
4,4.0,994.1,23.6,69,193,17.5,262.9,   ///./,263.6,345.5,1167.3,20.0,28.3,25.8,12.63,1435.2,0.5,28, ////./       , ////./       , ////./        ,-87.61426,41.86629,193.4
5,5.0,993.9,23.3,69,195,17.2,263.1,   ///./,264.1,345.3,1168.3,19.7,28.0,25.5,12.43,1436.2,0.6,29, ////./       , ////./       , ////./        ,-87.61426,41.86627,195.4
6,6.0,993.7,23.0,69,197,17.0,263.4,   ///./,264.7,345.2,1169.3,19.4,27.7,25.2,12.24,1437.2,0.6,31, ////./       , ////./       , ////./        ,-87.61427,41.86625,197.3
7,7.0,993.4,22.8,69,199,16.9,263.4,   ///./,265.0,345.1,1169.4,19.3,27.6,25.0,12.18,1438.2,0.8,36, ////./       , ////./       , ////./        ,-87.61427,41.86623,199.3
8,8.0,993.0,22.8,70,202,16.9,263.3,   ///./,265.4,345.1,1169.1,19.3,27.6,25.0,12.2,1439.2,1.0,39, ////./       , ////./       , ////./        ,-87.61428,41.86621,202.0
9,9.0,992.6,22.7,70,206,17.0,263.3,   ///./,265.9,345.0,1168.9,19.4,27.5,24.9,12.22,1440.2,1.2,41, ////./       , ////./       , ////./        ,-87.61428,41.86619,205.7
10,10.0,992.3,22.7,70,209,17.0,263.3,   ///./,266.5,345.0,1168.7,19.4,27.5,24.9,12.24,1441.2,1.4,42, ////./       , ////./       , ////./        ,-87.61429,41.86617,209.3
11,11.0,991.9,22.6,71,213,17.0,263.2,   ///./,267.0,345.0,1168.5,19.4,27.5,24.8,12.26,1442.2,1.7,43, ////./       , ////./       , ////./        ,-87.61429,41.86615,213.0
12,12.0,991.5,22.6,71,217,17.0,263.2,   ///./,267.6,344.9,1168.2,19.4,27.5,24.8,12.28,1443.2,1.9,44, ////./       , ////./       , ////./        ,-87.6143,41.86613,216.7
13,13.0,991.2,22.5,71,220,17.0,263.2,   ///./,268.1,344.9,1168.1,19.5,27.4,24.7,12.3,1444.2,2.1,45, ////./       , ////./       , ////./        ,-87.6143,41.86611,220.4
14,14.0,990.9,22.5,72,223,17.1,263.2,   ///./,268.5,344.9,1168.0,19.5,27.4,24.7,12.32,1445.2,2.3,45, ////./       , ////./       , ////./        ,-87.6143,41.86609,222.9
15,15.0,990.6,22.4,72,225,17.1,263.2,   ///./,268.9,344.8,1167.8,19.5,27.4,24.6,12.34,1446.2,2.5,46, ////./       , ////./       , ////./        ,-87.61432,41.86608,225.4
16,16.0,990.3,22.4,72,228,17.1,263.1,   ///./,269.2,344.8,1167.7,19.5,27.4,24.6,12.36,1447.2,2.6,47, ////./       , ////./       , ////./        ,-87.61435,41.86606,227.8
17,17.0,990.0,22.3,72,230,17.1,263.1,   ///./,269.6,344.8,1167.5,19.6,27.3,24.5,12.38,1448.2,2.6,48, ////./       , ////./       , ////./        ,-87.61439,41.86605,230.3
18,18.0,989.7,22.3,73,233,17.1,263.1,   ///./,270.0,344.7,1167.4,19.6,27.3,24.5,12.4,1449.2,2.6,49, ////./       , ////./       , ////./        ,-87.61442,41.86604,232.7
19,19.0,989.3,22.2,73,236,17.2,263.1,   ///./,270.4,344.7,1167.1,19.6,27.3,24.4,12.42,1450.2,2.7,50, ////./       , ////./       , ////./        ,-87.61445,41.86602,235.6
20,20.0,989.0,22.2,73,239,17.2,263.0,   ///./,270.9,344.7,1166.9,19.6,27.3,24.4,12.44,1451.2,2.7,51, ////./       , ////./       , ////./        ,-87.61449,41.86601,239.0
21,21.0,988.6,22.1,74,242,17.2,263.0,   ///./,271.4,344.7,1166.6,19.6,27.3,24.3,12.44,1452.2,2.8,52, ////./       , ////./       , ////./        ,-87.61452,41.866,242.4
22,22.0,988.2,22.1,74,246,17.2,262.9,   ///./,271.8,344.6,1166.3,19.6,27.3,24.3,12.43,1453.2,2.8,53, ////./       , ////./       , ////./        ,-87.61455,41.86598,245.8
23,23.0,987.8,22.0,74,249,17.2,262.8,   ///./,272.3,344.6,1166.0,19.6,27.3,24.3,12.43,1454.2,2.9,53, ////./       , ////./       , ////./        ,-87.61459,41.86597,249.2
24,24.0,987.5,22.0,74,253,17.1,262.8,   ///./,272.8,344.6,1165.7,19.6,27.2,24.2,12.43,1455.2,2.9,54, ////./       , ////./       , ////./        ,-87.61462,41.86596,252.6
25,25.0,987.1,22.0,74,256,17.1,262.7,   ///./,273.3,344.6,1165.4,19.6,27.2,24.2,12.43,1456.2,3.0,55, ////./       , ////./       , ////./        ,-87.61465,41.86594,256.0
26,26.0,986.7,21.9,74,259,17.1,262.7,   ///./,273.7,344.6,1165.1,19.6,27.2,24.1,12.42,1457.2,3.0,56, ////./       , ////./       , ////./        ,-87.61468,41.86593,259.4
27,27.0,986.3,21.9,74,263,17.1,262.6,   ///./,274.2,344.5,1164.8,19.5,27.2,24.1,12.42,1458.2,3.1,56, ////./       , ////./       , ////./        ,-87.61472,41.86591,262.8
28,28.0,985.9,21.9,74,266,17.1,262.5,   ///./,274.7,344.5,1164.4,19.5,27.2,24.1,12.42,1459.2,3.1,57, ////./       , ////./       , ////./        ,-87.61475,41.8659,266.2
29,29.0,985.5,21.8,74,269,17.1,262.5,   ///./,275.1,344.5,1164.1,19.5,27.2,24.0,12.41,1460.2,3.1,58, ////./       , ////./       , ////./        ,-87.61478,41.86589,269.6
30,30.0,985.2,21.8,75,273,17.1,262.4,   ///./,275.6,344.5,1163.8,19.5,27.2,24.0,12.41,1461.2,3.1,58, ////./       , ////./       , ////./        ,-87.61482,41.86587,273.0
31,31.0,984.8,21.8,75,276,17.1,262.3,   ///./,276.1,344.4,1163.5,19.5,27.2,24.0,12.41,1462.2,3.1,59, ////./       , ////./       , ////./        ,-87.61485,41.86586,276.5
32,32.0,984.4,21.7,75,280,17.1,262.3,   ///./,276.6,344.4,1163.2,19.5,27.2,23.9,12.4,1463.2,3.1,59, ////./       , ////./       , ////./        ,-87.61488,41.86585,280.0
33,33.0,984.0,21.7,75,283,17.1,262.2,   ///./,277.1,344.4,1162.8,19.5,27.2,23.9,12.4,1464.2,3.2,60, ////./       , ////./       , ////./        ,-87.61491,41.86583,283.5
34,34.0,983.6,21.7,75,287,17.1,262.1,   ///./,277.5,344.4,1162.5,19.5,27.2,23.9,12.41,1465.2,3.2,61, ////./       , ////./       , ////./        ,-87.61495,41.86582,287.0
35,35.0,983.2,21.6,75,290,17.1,262.1,   ///./,278.0,344.4,1162.1,19.5,27.2,23.8,12.41,1466.2,3.2,61, ////./       , ////./       , ////./        ,-87.61498,41.86581,290.5
36,36.0,982.8,21.6,75,294,17.1,262.0,   ///./,278.5,344.4,1161.8,19.5,27.2,23.8,12.42,1467.2,3.2,62, ////./       , ////./       , ////./        ,-87.61501,41.86579,294.1
37,37.0,982.3,21.6,76,298,17.1,261.9,   ///./,279.0,344.3,1161.4,19.5,27.2,23.8,12.42,1468.2,3.2,62, ////./       , ////./       , ////./        ,-87.61505,41.86578,297.9
38,38.0,981.9,21.5,76,302,17.1,261.8,   ///./,279.5,344.3,1161.0,19.5,27.2,23.7,12.43,1469.2,3.2,63, ////./       , ////./       , ////./        ,-87.61508,41.86577,301.7
39,39.0,981.5,21.5,76,305,17.1,261.8,   ///./,280.1,344.3,1160.7,19.5,27.2,23.7,12.44,1470.2,3.2,63, ////./       , ////./       , ////./        ,-87.61511,41.86575,305.5
