Time[sec]	Pressure[mbar]	T[°C] 	U[%]	Geo Pot[m]	Dew [°C]	RI    	GRI     	MRI    	CL [m/s]	D [g/m3]	VP [mbar]	Pot Te [°C]	Vi Te [°C]	Spec U [g/kg]	UTC Time [sec]	Wsp [m/s]	Wdir [°]	N/S Wind [m/s]	E/W Wind [m/s]	Vert Wind [m/s]	Lon [°]    	Lat [°]   	Geometric Height [m]
00000.0  	  994.7       	  24.8	  68	   189    	  18.5  	 261.9	   ///./	  261.9	 346.2  	 1163.2 	 21.3    	   29.5    	  27.2    	 13.44       	  1431.2      	   1.0   	 045    	 ////./       	 ////./       	 ////./        	  -87.61424	  41.86637	   189.0
00001.0  	  994.5       	  24.5	  68	   189    	  18.2  	 262.2	   ///./	  262.1	 346.0  	 1164.2 	 21.0    	   29.2    	  26.9    	 13.23       	  1432.2      	   0.4   	 021    	 ////./       	 ////./       	 ////./        	  -87.61425	  41.86635	   188.8
00002.0  	  994.4       	  24.2	  68	   189    	  18.0  	 262.4	   ///./	  262.5	 345.9  	 1165.2 	 20.7    	   28.9    	  26.5    	 13.03       	  1433.2      	   0.5   	 023    	 ////./       	 ////./       	 ////./        	  -87.61425	  41.86633	   189.5
00003.0  	  994.2       	  23.9	  69	   191    	  17.7  	 262.6	   ///./	  263.0	 345.7  	 1166.3 	 20.3    	   28.6    	  26.2    	 12.83       	  1434.2      	   0.5   	 026    	 ////./       	 ////./       	 ////./        	  -87.61425	  41.86631	   191.5
00004.0  	  994.1       	  23.6	  69	   193    	  17.5  	 262.9	   ///./	  263.6	 345.5  	 1167.3 	 20.0    	   28.3    	  25.8    	 12.63       	  1435.2      	   0.5   	 028    	 ////./       	 ////./       	 ////./        	  -87.61426	  41.86629	   193.4
00005.0  	  993.9       	  23.3	  69	   195    	  17.2  	 263.1	   ///./	  264.1	 345.3  	 1168.3 	 19.7    	   28.0    	  25.5    	 12.43       	  1436.2      	   0.6   	 029    	 ////./       	 ////./       	 ////./        	  -87.61426	  41.86627	   195.4
00006.0  	  993.7       	  23.0	  69	   197    	  17.0  	 263.4	   ///./	  264.7	 345.2  	 1169.3 	 19.4    	   27.7    	  25.2    	 12.24       	  1437.2      	   0.6   	 031    	 ////./       	 ////./       	 ////./        	  -87.61427	  41.86625	   197.3
00007.0  	  993.4       	  22.8	  69	   199    	  16.9  	 263.4	   ///./	  265.0	 345.1  	 1169.4 	 19.3    	   27.6    	  25.0    	 12.18       	  1438.2      	   0.8   	 036    	 ////./       	 ////./       	 ////./        	  -87.61427	  41.86623	   199.3
00008.0  	  993.0       	  22.8	  70	   202    	  16.9  	 263.3	   ///./	  265.4	 345.1  	 1169.1 	 19.3    	   27.6    	  25.0    	 12.20       	  1439.2      	   1.0   	 039    	 ////./       	 ////./       	 ////./        	  -87.61428	  41.86621	   202.0
00009.0  	  992.6       	  22.7	  70	   206    	  17.0  	 263.3	   ///./	  265.9	 345.0  	 1168.9 	 19.4    	   27.5    	  24.9    	 12.22       	  1440.2      	   1.2   	 041    	 ////./       	 ////./       	 ////./        	  -87.61428	  41.86619	   205.7
00010.0  	  992.3       	  22.7	  70	   209    	  17.0  	 263.3	   ///./	  266.5	 345.0  	 1168.7 	 19.4    	   27.5    	  24.9    	 12.24       	  1441.2      	   1.4   	 042    	 ////./       	 ////./       	 ////./        	  -87.61429	  41.86617	   209.3
00011.0  	  991.9       	  22.6	  71	   213    	  17.0  	 263.2	   ///./	  267.0	 345.0  	 1168.5 	 19.4    	   27.5    	  24.8    	 12.26       	  1442.2      	   1.7   	 043    	 ////./       	 ////./       	 ////./        	  -87.61429	  41.86615	   213.0
00012.0  	  991.5       	  22.6	  71	   217    	  17.0  	 263.2	   ///./	  267.6	 344.9  	 1168.2 	 19.4    	   27.5    	  24.8    	 12.28       	  1443.2      	   1.9   	 044    	 ////./       	 ////./       	 ////./        	  -87.61430	  41.86613	   216.7
00013.0  	  991.2       	  22.5	  71	   220    	  17.0  	 263.2	   ///./	  268.1	 344.9  	 1168.1 	 19.5    	   27.4    	  24.7    	 12.30       	  1444.2      	   2.1   	 045    	 ////./       	 ////./       	 ////./        	  -87.61430	  41.86611	   220.4
00014.0  	  990.9       	  22.5	  72	   223    	  17.1  	 263.2	   ///./	  268.5	 344.9  	 1168.0 	 19.5    	   27.4    	  24.7    	 12.32       	  1445.2      	   2.3   	 045    	 ////./       	 ////./       	 ////./        	  -87.61430	  41.86609	   222.9
00015.0  	  990.6       	  22.4	  72	   225    	  17.1  	 263.2	   ///./	  268.9	 344.8  	 1167.8 	 19.5    	   27.4    	  24.6    	 12.34       	  1446.2      	   2.5   	 046    	 ////./       	 ////./       	 ////./        	  -87.61432	  41.86608	   225.4
00016.0  	  990.3       	  22.4	  72	   228    	  17.1  	 263.1	   ///./	  269.2	 344.8  	 1167.7 	 19.5    	   27.4    	  24.6    	 12.36       	  1447.2      	   2.6   	 047    	 ////./       	 ////./       	 ////./        	  -87.61435	  41.86606	   227.8
00017.0  	  990.0       	  22.3	  72	   230    	  17.1  	 263.1	   ///./	  269.6	 344.8  	 1167.5 	 19.6    	   27.3    	  24.5    	 12.38       	  1448.2      	   2.6   	 048    	 ////./       	 ////./       	 ////./        	  -87.61439	  41.86605	   230.3
00018.0  	  989.7       	  22.3	  73	   233    	  17.1  	 263.1	   ///./	  270.0	 344.7  	 1167.4 	 19.6    	   27.3    	  24.5    	 12.40       	  1449.2      	   2.6   	 049    	 ////./       	 ////./       	 ////./        	  -87.61442	  41.86604	   232.7
00019.0  	  989.3       	  22.2	  73	   236    	  17.2  	 263.1	   ///./	  270.4	 344.7  	 1167.1 	 19.6    	   27.3    	  24.4    	 12.42       	  1450.2      	   2.7   	 050    	 ////./       	 ////./       	 ////./        	  -87.61445	  41.86602	   235.6
00020.0  	  989.0       	  22.2	  73	   239    	  17.2  	 263.0	   ///./	  270.9	 344.7  	 1166.9 	 19.6    	   27.3    	  24.4    	 12.44       	  1451.2      	   2.7   	 051    	 ////./       	 ////./       	 ////./        	  -87.61449	  41.86601	   239.0
00021.0  	  988.6       	  22.1	  74	   242    	  17.2  	 263.0	   ///./	  271.4	 344.7  	 1166.6 	 19.6    	   27.3    	  24.3    	 12.44       	  1452.2      	   2.8   	 052    	 ////./       	 ////./       	 ////./        	  -87.61452	  41.86600	   242.4
00022.0  	  988.2       	  22.1	  74	   246    	  17.2  	 262.9	   ///./	  271.8	 344.6  	 1166.3 	 19.6    	   27.3    	  24.3    	 12.43       	  1453.2      	   2.8   	 053    	 ////./       	 ////./       	 ////./        	  -87.61455	  41.86598	   245.8
00023.0  	  987.8       	  22.0	  74	   249    	  17.2  	 262.8	   ///./	  272.3	 344.6  	 1166.0 	 19.6    	   27.3    	  24.3    	 12.43       	  1454.2      	   2.9   	 053    	 ////./       	 ////./       	 ////./        	  -87.61459	  41.86597	   249.2
00024.0  	  987.5       	  22.0	  74	   253    	  17.1  	 262.8	   ///./	  272.8	 344.6  	 1165.7 	 19.6    	   27.2    	  24.2    	 12.43       	  1455.2      	   2.9   	 054    	 ////./       	 ////./       	 ////./        	  -87.61462	  41.86596	   252.6
00025.0  	  987.1       	  22.0	  74	   256    	  17.1  	 262.7	   ///./	  273.3	 344.6  	 1165.4 	 19.6    	   27.2    	  24.2    	 12.43       	  1456.2      	   3.0   	 055    	 ////./       	 ////./       	 ////./        	  -87.61465	  41.86594	   256.0
00026.0  	  986.7       	  21.9	  74	   259    	  17.1  	 262.7	   ///./	  273.7	 344.6  	 1165.1 	 19.6    	   27.2    	  24.1    	 12.42       	  1457.2      	   3.0   	 056    	 ////./       	 ////./       	 ////./        	  -87.61468	  41.86593	   259.4
00027.0  	  986.3       	  21.9	  74	   263    	  17.1  	 262.6	   ///./	  274.2	 344.5  	 1164.8 	 19.5    	   27.2    	  24.1    	 12.42       	  1458.2      	   3.1   	 056    	 ////./       	 ////./       	 ////./        	  -87.61472	  41.86591	   262.8
00028.0  	  985.9       	  21.9	  74	   266    	  17.1  	 262.5	   ///./	  274.7	 344.5  	 1164.4 	 19.5    	   27.2    	  24.1    	 12.42       	  1459.2      	   3.1   	 057    	 ////./       	 ////./       	 ////./        	  -87.61475	  41.86590	   266.2
