Time [mm:ss]	UTC Time [hh:mm:ss]	Range [m]	Vertical Speed [m/s]	Horizontal Speed [m/s]	Longitude [°]	Latitude [°]	Altitude [m]
00:07.3     	11:54:12.6         	---      	---                 	---                   	---          	---         	---
00:08.4     	11:54:13.7         	---      	---                 	---                   	---          	---         	---
00:09.3     	11:54:14.7         	---      	---                 	---                   	---          	---         	---
00:10.4     	11:54:15.8         	---      	---                 	---                   	---          	---         	---
00:11.3     	11:54:16.7         	---      	---                 	---                   	---          	---         	---
00:12.4     	11:54:17.8         	0.5      	-0.1                	0.4                   	-87.60281    	41.7636     	181.4
00:13.3     	11:54:18.7         	0.1      	-0.2                	0.3                   	-87.60281    	41.7636     	181.0
00:14.2     	11:54:19.6         	0.5      	0.6                 	0.7                   	-87.60280    	41.7636     	181.1
00:15.3     	11:54:20.7         	0.8      	0.1                 	0.2                   	-87.60280    	41.7636     	181.4
00:16.2     	11:54:21.6         	0.6      	0.1                 	0.2                   	-87.60280    	41.7636     	181.6
00:17.3     	11:54:22.7         	0.5      	-0.2                	0.2                   	-87.60280    	41.7636     	181.3
00:18.2     	11:54:23.6         	0.4      	-0.5                	0.3                   	-87.60280    	41.7636     	180.9
00:20.2     	11:54:25.6         	0.5      	0.0                 	0.2                   	-87.60280    	41.7636     	180.8
00:21.4     	11:54:26.7         	1.5      	-0.2                	0.4                   	-87.60279    	41.7636     	180.3
00:22.3     	11:54:27.6         	1.9      	0.5                 	0.7                   	-87.60279    	41.7636     	180.4
00:23.4     	11:54:28.8         	3.1      	0.1                 	0.1                   	-87.60280    	41.7636     	178.1
00:24.3     	11:54:29.7         	4.0      	-0.4                	0.0                   	-87.60279    	41.7636     	177.5
00:25.4     	11:54:30.8         	4.6      	-0.2                	0.3                   	-87.60278    	41.7636     	177.4
00:26.3     	11:54:31.7         	4.7      	-0.2                	0.2                   	-87.60277    	41.7636     	177.4
00:27.4     	11:54:32.8         	4.6      	0.4                 	0.3                   	-87.60278    	41.7636     	177.3
00:28.3     	11:54:33.7         	4.0      	0.6                 	0.2                   	-87.60278    	41.7636     	177.8
00:29.2     	11:54:34.6         	3.8      	0.4                 	0.2                   	-87.60278    	41.7636     	177.9
00:30.3     	11:54:35.7         	3.7      	0.2                 	0.3                   	-87.60279    	41.7636     	177.9
00:31.2     	11:54:36.6         	2.3      	0.1                 	0.3                   	-87.60279    	41.7636     	179.3
00:32.3     	11:54:37.7         	1.3      	0.3                 	0.3                   	-87.60280    	41.7636     	180.1
00:33.2     	11:54:38.6         	1.6      	0.3                 	0.2                   	-87.60280    	41.7636     	179.8
00:34.3     	11:54:39.7         	1.4      	0.6                 	0.3                   	-87.60280    	41.7636     	180.3
00:35.2     	11:54:40.6         	1.1      	-0.1                	0.3                   	-87.60280    	41.7636     	180.7
00:36.4     	11:54:41.7         	1.0      	0.0                 	0.0                   	-87.60280    	41.7636     	180.6
00:37.3     	11:54:42.7         	1.4      	0.1                 	0.0                   	-87.60281    	41.7636     	181.3
00:38.4     	11:54:43.8         	1.7      	0.3                 	0.2                   	-87.60281    	41.7636     	181.8
00:40.4     	11:54:45.8         	1.8      	0.1                 	0.1                   	-87.60281    	41.7636     	182.1
00:41.3     	11:54:46.7         	1.9      	0.3                 	0.1                   	-87.60282    	41.7636     	182.2
