,Time[sec],Pressure[mbar],T[°C] ,U[%],Geo Pot[m],Dew [°C],RI    ,GRI     ,MRI    ,CL [m/s],D [g/m3],VP [mbar],Pot Te [°C],Vi Te [°C],Spec U [g/kg],UTC Time [sec],Wsp [m/s],Wdir [°],N/S Wind [m/s],E/W Wind [m/s],Vert Wind [m/s],Lon [°]    ,Lat [°]   ,Geometric Height [m]
0,0.0,997.0,25.6,71,0,19.9,261.9,   ///./,233.7,346.7,1162.8,23.3,30.1,28.2,14.69,48004.2,0.1,135, ////./       , ////./       , ////./        ,-87.60284,41.7636,0.0
1,1.0,995.5,25.2,71,13,19.6,261.9,   ///./,235.7,346.4,1162.7,22.8,29.8,27.8,14.39,48005.2,0.1,315, ////./       , ////./       , ////./        ,-87.60284,41.76359,13.0
2,2.0,994.1,24.8,71,26,19.2,261.9,   ///./,237.8,346.2,1162.6,22.3,29.5,27.3,14.09,48006.2,0.1,315, ////./       , ////./       , ////./        ,-87.60284,41.76359,26.0
3,3.0,992.6,24.3,72,39,18.9,261.9,   ///./,239.8,346.0,1162.5,21.8,29.2,26.8,13.8,48007.2,0.1,315, ////./       , ////./       , ////./        ,-87.60283,41.76358,39.0
4,4.0,991.1,23.9,72,52,18.5,261.9,   ///./,241.8,345.7,1162.5,21.3,28.9,26.3,13.51,48008.2,0.1,315, ////./       , ////./       , ////./        ,-87.60283,41.76358,52.0
5,5.0,989.6,23.5,72,65,18.2,261.9,   ///./,243.9,345.5,1162.4,20.9,28.6,25.9,13.22,48009.2,0.1,315, ////./       , ////./       , ////./        ,-87.60283,41.76358,65.1
6,6.0,988.2,23.1,72,78,17.8,261.9,   ///./,245.9,345.2,1162.3,20.4,28.3,25.4,12.94,48010.2,0.1,315, ////./       , ////./       , ////./        ,-87.60282,41.76357,78.1
7,7.0,986.7,23.0,72,91,17.7,261.7,   ///./,247.7,345.2,1161.0,20.3,28.3,25.3,12.9,48011.2,0.2,313, ////./       , ////./       , ////./        ,-87.60282,41.76357,91.1
8,8.0,985.2,23.0,73,104,17.8,261.3,   ///./,249.3,345.2,1159.3,20.4,28.4,25.3,12.97,48012.2,0.2,311, ////./       , ////./       , ////./        ,-87.60282,41.76356,104.1
9,9.0,983.8,23.0,73,117,17.8,260.9,   ///./,251.0,345.2,1157.5,20.5,28.6,25.3,13.05,48013.2,0.3,310, ////./       , ////./       , ////./        ,-87.60281,41.76356,117.1
10,10.0,982.3,23.0,73,130,17.9,260.5,   ///./,252.7,345.2,1155.7,20.6,28.7,25.4,13.14,48014.2,0.3,310, ////./       , ////./       , ////./        ,-87.60281,41.76355,130.1
11,11.0,980.9,23.0,73,143,18.0,260.1,   ///./,254.3,345.2,1153.9,20.7,28.9,25.4,13.22,48015.2,0.4,309, ////./       , ////./       , ////./        ,-87.6028,41.76355,143.1
12,12.0,979.4,23.0,74,156,18.1,259.7,   ///./,256.0,345.2,1152.2,20.8,29.0,25.4,13.31,48016.2,0.4,309, ////./       , ////./       , ////./        ,-87.6028,41.76355,156.1
13,13.0,978.8,23.0,74,169,18.2,259.6,   ///./,257.9,345.2,1151.4,20.9,29.1,25.4,13.39,48017.2,0.5,308, ////./       , ////./       , ////./        ,-87.6028,41.76354,169.1
14,14.0,978.2,23.1,74,182,18.3,259.4,   ///./,259.8,345.2,1150.7,21.0,29.1,25.5,13.46,48018.2,0.5,308, ////./       , ////./       , ////./        ,-87.60279,41.76354,182.2
15,15.0,977.7,23.1,75,188,18.3,259.3,   ///./,260.5,345.2,1150.0,21.1,29.2,25.5,13.54,48019.2,0.6,308, ////./       , ////./       , ////./        ,-87.60279,41.76353,187.8
16,16.0,977.1,23.1,75,188,18.4,259.1,   ///./,260.3,345.2,1149.2,21.2,29.3,25.5,13.62,48020.2,0.6,311, ////./       , ////./       , ////./        ,-87.6028,41.76353,187.6
17,17.0,976.5,23.1,75,187,18.5,259.0,   ///./,260.1,345.2,1148.5,21.3,29.3,25.6,13.69,48021.2,0.6,315, ////./       , ////./       , ////./        ,-87.60282,41.76353,187.3
18,18.0,975.9,23.1,76,187,18.6,258.8,   ///./,259.9,345.2,1147.8,21.4,29.4,25.6,13.77,48022.2,0.6,320, ////./       , ////./       , ////./        ,-87.60283,41.76352,187.1
19,19.0,975.9,23.1,76,187,18.7,258.8,   ///./,259.9,345.3,1147.7,21.5,29.4,25.6,13.84,48023.2,0.6,328, ////./       , ////./       , ////./        ,-87.60284,41.76352,186.8
20,20.0,975.9,23.1,76,187,18.7,258.8,   ///./,259.9,345.3,1147.7,21.6,29.4,25.6,13.9,48024.2,0.5,338, ////./       , ////./       , ////./        ,-87.60285,41.76351,187.0
21,21.0,975.9,23.1,76,187,18.7,258.9,   ///./,260.0,345.2,1147.8,21.6,29.4,25.6,13.87,48025.2,0.5,352, ////./       , ////./       , ////./        ,-87.60286,41.76351,187.1
22,22.0,975.9,23.1,76,187,18.7,258.9,   ///./,260.1,345.2,1148.0,21.5,29.3,25.5,13.85,48026.2,0.5,9, ////./       , ////./       , ////./        ,-87.60287,41.76351,187.2
23,23.0,975.9,23.0,76,187,18.6,258.9,   ///./,260.1,345.2,1148.1,21.5,29.3,25.5,13.83,48027.2,0.5,28, ////./       , ////./       , ////./        ,-87.60289,41.7635,187.4
