Time[sec]	Pressure[mbar]	T[°C] 	U[%]	Geo Pot[m]	Dew [°C]	RI    	GRI     	MRI    	CL [m/s]	D [g/m3]	VP [mbar]	Pot Te [°C]	Vi Te [°C]	Spec U [g/kg]	UTC Time [sec]	Wsp [m/s]	Wdir [°]	N/S Wind [m/s]	E/W Wind [m/s]	Vert Wind [m/s]	Lon [°]    	Lat [°]   	Geometric Height [m]
00000.0  	  997.5       	  26.0	  59	   183    	  17.4  	 261.2	   ///./	  261.2	 346.9  	 1161.8 	 19.9    	   30.4    	  28.3    	 12.48       	 63033.7      	   1.2   	 089    	 ////./       	 ////./       	 ////./        	  -87.60283	  41.76355	   182.9
00001.0  	  996.1       	  25.4	  60	   196    	  17.0  	 261.4	   ///./	  263.4	 346.6  	 1162.4 	 19.4    	   30.0    	  27.6    	 12.22       	 63034.7      	   3.1   	 060    	 ////./       	 ////./       	 ////./        	  -87.60290	  41.76352	   195.6
00002.0  	  994.6       	  24.9	  60	   208    	  16.7  	 261.5	   ///./	  265.5	 346.3  	 1162.9 	 19.0    	   29.5    	  27.0    	 11.96       	 63035.7      	   3.1   	 060    	 ////./       	 ////./       	 ////./        	  -87.60297	  41.76349	   208.3
00003.0  	  993.2       	  24.3	  61	   221    	  16.3  	 261.7	   ///./	  267.7	 345.9  	 1163.4 	 18.6    	   29.1    	  26.4    	 11.70       	 63036.7      	   3.1   	 060    	 ////./       	 ////./       	 ////./        	  -87.60304	  41.76345	   221.0
00004.0  	  991.7       	  23.7	  62	   234    	  15.9  	 261.8	   ///./	  269.8	 345.6  	 1164.0 	 18.1    	   28.6    	  25.8    	 11.45       	 63037.7      	   3.1   	 060    	 ////./       	 ////./       	 ////./        	  -87.60311	  41.76342	   233.8
00005.0  	  990.3       	  23.2	  62	   246    	  15.6  	 262.0	   ///./	  272.0	 345.3  	 1164.5 	 17.7    	   28.2    	  25.2    	 11.20       	 63038.7      	   3.1   	 060    	 ////./       	 ////./       	 ////./        	  -87.60318	  41.76339	   246.5
00006.0  	  988.9       	  22.6	  63	   259    	  15.2  	 262.2	   ///./	  274.2	 344.9  	 1165.0 	 17.3    	   27.7    	  24.5    	 10.95       	 63039.7      	   3.1   	 060    	 ////./       	 ////./       	 ////./        	  -87.60326	  41.76335	   259.2
00007.0  	  987.7       	  22.4	  64	   272    	  15.1  	 262.1	   ///./	  276.1	 344.8  	 1164.5 	 17.2    	   27.6    	  24.3    	 10.91       	 63040.7      	   3.2   	 060    	 ////./       	 ////./       	 ////./        	  -87.60333	  41.76332	   272.0
00008.0  	  986.5       	  22.3	  64	   285    	  15.2  	 261.8	   ///./	  277.8	 344.8  	 1163.2 	 17.3    	   27.7    	  24.3    	 10.98       	 63041.7      	   3.3   	 059    	 ////./       	 ////./       	 ////./        	  -87.60340	  41.76328	   284.7
00009.0  	  985.3       	  22.3	  64	   297    	  15.3  	 261.5	   ///./	  279.5	 344.8  	 1162.0 	 17.4    	   27.7    	  24.3    	 11.04       	 63042.7      	   3.4   	 058    	 ////./       	 ////./       	 ////./        	  -87.60347	  41.76325	   297.4
