Time[sec]	Pressure[mbar]	T[°C] 	U[%]	Geo Pot[m]	Dew [°C]	RI    	GRI     	MRI    	CL [m/s]	D [g/m3]	VP [mbar]	Pot Te [°C]	Vi Te [°C]	Spec U [g/kg]	UTC Time [sec]	Wsp [m/s]	Wdir [°]	N/S Wind [m/s]	E/W Wind [m/s]	Vert Wind [m/s]	Lon [°]    	Lat [°]   	Geometric Height [m]
00000.0  	  997.0       	  25.6	  71	     0    	  19.9  	 261.9	   ///./	  233.7	 346.7  	 1162.8 	 23.3    	   30.1    	  28.2    	 14.69       	 48004.2      	   0.1   	 135    	 ////./       	 ////./       	 ////./        	  -87.60284	  41.76360	     0.0
00001.0  	  995.5       	  25.2	  71	    13    	  19.6  	 261.9	   ///./	  235.7	 346.4  	 1162.7 	 22.8    	   29.8    	  27.8    	 14.39       	 48005.2      	   0.1   	 315    	 ////./       	 ////./       	 ////./        	  -87.60284	  41.76359	    13.0
00002.0  	  994.1       	  24.8	  71	    26    	  19.2  	 261.9	   ///./	  237.8	 346.2  	 1162.6 	 22.3    	   29.5    	  27.3    	 14.09       	 48006.2      	   0.1   	 315    	 ////./       	 ////./       	 ////./        	  -87.60284	  41.76359	    26.0
00003.0  	  992.6       	  24.3	  72	    39    	  18.9  	 261.9	   ///./	  239.8	 346.0  	 1162.5 	 21.8    	   29.2    	  26.8    	 13.80       	 48007.2      	   0.1   	 315    	 ////./       	 ////./       	 ////./        	  -87.60283	  41.76358	    39.0
00004.0  	  991.1       	  23.9	  72	    52    	  18.5  	 261.9	   ///./	  241.8	 345.7  	 1162.5 	 21.3    	   28.9    	  26.3    	 13.51       	 48008.2      	   0.1   	 315    	 ////./       	 ////./       	 ////./        	  -87.60283	  41.76358	    52.0
00005.0  	  989.6       	  23.5	  72	    65    	  18.2  	 261.9	   ///./	  243.9	 345.5  	 1162.4 	 20.9    	   28.6    	  25.9    	 13.22       	 48009.2      	   0.1   	 315    	 ////./       	 ////./       	 ////./        	  -87.60283	  41.76358	    65.1
00006.0  	  988.2       	  23.1	  72	    78    	  17.8  	 261.9	   ///./	  245.9	 345.2  	 1162.3 	 20.4    	   28.3    	  25.4    	 12.94       	 48010.2      	   0.1   	 315    	 ////./       	 ////./       	 ////./        	  -87.60282	  41.76357	    78.1
00007.0  	  986.7       	  23.0	  72	    91    	  17.7  	 261.7	   ///./	  247.7	 345.2  	 1161.0 	 20.3    	   28.3    	  25.3    	 12.90       	 48011.2      	   0.2   	 313    	 ////./       	 ////./       	 ////./        	  -87.60282	  41.76357	    91.1
00008.0  	  985.2       	  23.0	  73	   104    	  17.8  	 261.3	   ///./	  249.3	 345.2  	 1159.3 	 20.4    	   28.4    	  25.3    	 12.97       	 48012.2      	   0.2   	 311    	 ////./       	 ////./       	 ////./        	  -87.60282	  41.76356	   104.1
00009.0  	  983.8       	  23.0	  73	   117    	  17.8  	 260.9	   ///./	  251.0	 345.2  	 1157.5 	 20.5    	   28.6    	  25.3    	 13.05       	 48013.2      	   0.3   	 310    	 ////./       	 ////./       	 ////./        	  -87.60281	  41.76356	   117.1
00010.0  	  982.3       	  23.0	  73	   130    	  17.9  	 260.5	   ///./	  252.7	 345.2  	 1155.7 	 20.6    	   28.7    	  25.4    	 13.14       	 48014.2      	   0.3   	 310    	 ////./       	 ////./       	 ////./        	  -87.60281	  41.76355	   130.1
