Time [mm:ss]	UTC Time [hh:mm:ss]	Range [m]	Vertical Speed [m/s]	Horizontal Speed [m/s]	Longitude [°]	Latitude [°]	Altitude [m]
00:06.6     	15:57:34.2         	---      	---                 	---                   	---          	---         	---
00:07.5     	15:57:35.1         	---      	---                 	---                   	---          	---         	---
00:08.7     	15:57:36.2         	---      	---                 	---                   	---          	---         	---
00:09.6     	15:57:37.1         	---      	---                 	---                   	---          	---         	---
00:10.7     	15:57:38.2         	---      	---                 	---                   	---          	---         	---
00:11.6     	15:57:39.1         	0.5      	0.3                 	0.1                   	-87.60278    	41.7636     	188.0
00:12.7     	15:57:40.2         	0.7      	-0.1                	0.1                   	-87.60278    	41.7636     	187.3
00:13.6     	15:57:41.1         	0.9      	0.1                 	0.1                   	-87.60278    	41.7636     	187.0
00:14.7     	15:57:42.2         	1.5      	0.0                 	0.0                   	-87.60278    	41.7636     	186.4
00:15.6     	15:57:43.2         	1.5      	-0.1                	0.0                   	-87.60278    	41.7636     	186.4
00:16.5     	15:57:44.1         	1.5      	-0.1                	0.0                   	-87.60278    	41.7636     	186.4
00:17.6     	15:57:45.2         	1.2      	0.0                 	0.1                   	-87.60278    	41.7636     	186.7
00:18.5     	15:57:46.1         	1.0      	0.0                 	0.1                   	-87.60278    	41.7636     	186.9
00:19.6     	15:57:47.2         	0.9      	-0.3                	0.5                   	-87.60278    	41.7636     	186.9
00:20.5     	15:57:48.1         	0.9      	0.4                 	0.4                   	-87.60278    	41.7636     	186.9
00:21.6     	15:57:49.2         	0.3      	0.2                 	0.2                   	-87.60278    	41.7636     	187.4
00:22.5     	15:57:50.1         	0.2      	0.0                 	0.1                   	-87.60278    	41.7636     	187.5
00:23.7     	15:57:51.2         	0.3      	0.3                 	0.2                   	-87.60278    	41.7636     	187.5
00:24.6     	15:57:52.1         	2.2      	0.2                 	0.2                   	-87.60279    	41.7636     	185.5
00:25.7     	15:57:53.2         	2.6      	0.0                 	0.1                   	-87.60279    	41.7636     	185.2
00:26.6     	15:57:54.1         	2.6      	0.3                 	0.1                   	-87.60279    	41.7636     	185.2
00:27.7     	15:57:55.2         	2.7      	-0.1                	0.8                   	-87.60279    	41.7636     	185.1
00:28.6     	15:57:56.1         	3.2      	-0.2                	0.5                   	-87.60278    	41.7636     	184.6
00:30.6     	15:57:58.2         	3.1      	0.2                 	0.8                   	-87.60277    	41.7636     	184.7
00:31.5     	15:57:59.1         	3.1      	0.3                 	0.7                   	-87.60276    	41.7636     	184.9
00:32.6     	15:58:00.2         	2.9      	0.1                 	0.5                   	-87.60276    	41.7636     	185.3
00:33.5     	15:58:01.1         	2.9      	-0.2                	0.2                   	-87.60276    	41.7636     	185.2
00:34.6     	15:58:02.2         	3.1      	0.0                 	0.2                   	-87.60277    	41.7636     	184.8
00:35.5     	15:58:03.1         	3.4      	-0.2                	0.2                   	-87.60277    	41.7636     	184.4
