Time [mm:ss]	UTC Time [hh:mm:ss]	Range [m]	Vertical Speed [m/s]	Horizontal Speed [m/s]	Longitude [°]	Latitude [°]	Altitude [m]
00:06.5     	17:25:00.3         	---      	---                 	---                   	---          	---         	---
00:07.4     	17:25:01.2         	---      	---                 	---                   	---          	---         	---
00:08.5     	17:25:02.3         	---      	---                 	---                   	---          	---         	---
00:09.5     	17:25:03.2         	---      	---                 	---                   	---          	---         	---
00:10.6     	17:25:04.3         	---      	---                 	---                   	---          	---         	---
00:11.5     	17:25:05.2         	0.5      	-0.2                	0.1                   	-87.60283    	41.7636     	182.3
00:12.6     	17:25:06.3         	0.7      	-0.1                	0.1                   	-87.60283    	41.7636     	182.1
00:13.5     	17:25:07.2         	2.3      	-0.2                	0.2                   	-87.60282    	41.7636     	180.0
00:14.6     	17:25:08.3         	2.9      	-0.1                	0.3                   	-87.60282    	41.7636     	179.5
00:15.5     	17:25:09.2         	2.9      	0.3                 	0.3                   	-87.60282    	41.7636     	179.7
00:16.6     	17:25:10.3         	5.5      	0.0                 	0.0                   	-87.60281    	41.7636     	177.3
00:17.5     	17:25:11.2         	7.8      	-0.4                	0.1                   	-87.60281    	41.7636     	175.1
00:18.6     	17:25:12.3         	6.0      	0.8                 	0.1                   	-87.60282    	41.7636     	177.1
00:19.5     	17:25:13.2         	5.2      	1.3                 	0.4                   	-87.60282    	41.7636     	177.9
00:20.4     	17:25:14.2         	4.0      	1.3                 	0.9                   	-87.60282    	41.7636     	179.1
00:21.5     	17:25:15.3         	3.3      	0.5                 	0.3                   	-87.60282    	41.7636     	179.9
00:22.4     	17:25:16.2         	3.3      	0.2                 	0.1                   	-87.60282    	41.7636     	180.1
00:23.5     	17:25:17.3         	3.4      	0.7                 	0.2                   	-87.60282    	41.7636     	181.1
00:24.5     	17:25:18.2         	3.0      	0.1                 	0.3                   	-87.60283    	41.7636     	183.3
00:25.6     	17:25:19.3         	3.0      	0.4                 	0.1                   	-87.60283    	41.7636     	183.2
00:26.5     	17:25:20.2         	4.1      	0.8                 	0.5                   	-87.60284    	41.7636     	184.0
00:27.6     	17:25:21.3         	5.0      	0.8                 	0.4                   	-87.60283    	41.7636     	185.5
00:28.5     	17:25:22.2         	5.3      	0.9                 	0.4                   	-87.60283    	41.7636     	186.0
00:29.6     	17:25:23.3         	4.7      	0.1                 	0.7                   	-87.60282    	41.7636     	185.0
00:30.5     	17:25:24.2         	3.8      	-0.2                	0.7                   	-87.60282    	41.7636     	184.0
00:31.6     	17:25:25.3         	3.7      	-0.3                	0.3                   	-87.60281    	41.7636     	183.1
00:32.5     	17:25:26.2         	3.6      	-0.4                	0.1                   	-87.60281    	41.7636     	182.6
00:33.4     	17:25:27.1         	2.9      	0.0                 	0.5                   	-87.60281    	41.7636     	180.4
00:34.5     	17:25:28.3         	3.1      	0.3                 	0.4                   	-87.60280    	41.7636     	180.2
00:35.4     	17:25:29.2         	3.6      	0.1                 	0.1                   	-87.60280    	41.7636     	179.6
00:36.5     	17:25:30.3         	3.6      	0.3                 	0.2                   	-87.60280    	41.7636     	179.6
00:37.4     	17:25:31.2         	3.5      	0.6                 	0.1                   	-87.60280    	41.7636     	179.8
00:38.6     	17:25:32.3         	3.3      	0.8                 	0.2                   	-87.60280    	41.7636     	180.2
00:39.5     	17:25:33.2         	2.9      	0.3                 	0.1                   	-87.60280    	41.7636     	180.7
00:40.6     	17:25:34.3         	2.8      	0.3                 	0.0                   	-87.60280    	41.7636     	181.8
00:41.5     	17:25:35.2         	3.4      	-0.2                	0.1                   	-87.60280    	41.7636     	182.8
00:42.6     	17:25:36.3         	3.6      	-0.1                	0.1                   	-87.60280    	41.7636     	183.0
00:43.5     	17:25:37.2         	3.6      	-0.2                	0.1                   	-87.60281    	41.7636     	183.1
00:44.6     	17:25:38.3         	4.8      	0.7                 	0.6                   	-87.60283    	41.7636     	183.1
00:45.5     	17:25:39.2         	6.9      	0.2                 	0.0                   	-87.60284    	41.7636     	182.6
00:46.6     	17:25:40.3         	7.0      	0.2                 	0.1                   	-87.60285    	41.7636     	182.8
00:47.6     	17:25:41.3         	7.0      	0.1                 	0.1                   	-87.60285    	41.7636     	183.0
00:48.6     	17:25:42.3         	6.5      	0.4                 	0.1                   	-87.60284    	41.7636     	183.1
00:50.5     	17:25:44.3         	5.2      	-0.1                	0.1                   	-87.60282    	41.7636     	179.6
00:52.5     	17:25:46.3         	5.2      	-0.1                	0.2                   	-87.60282    	41.7636     	179.3
00:53.7     	17:25:47.4         	4.9      	0.1                 	0.1                   	-87.60281    	41.7636     	179.1
00:54.6     	17:25:48.3         	4.0      	0.0                 	0.1                   	-87.60281    	41.7636     	181.0
00:55.7     	17:25:49.4         	3.7      	0.1                 	0.0                   	-87.60281    	41.7636     	181.6
00:56.6     	17:25:50.3         	3.9      	0.1                 	0.3                   	-87.60281    	41.7636     	181.7
00:57.7     	17:25:51.4         	4.0      	0.1                 	0.1                   	-87.60281    	41.7636     	181.4
00:58.6     	17:25:52.3         	4.0      	0.2                 	0.1                   	-87.60281    	41.7636     	181.6
00:59.7     	17:25:53.4         	4.4      	0.3                 	0.2                   	-87.60281    	41.7636     	182.2
01:00.6     	17:25:54.3         	4.4      	0.3                 	0.2                   	-87.60281    	41.7636     	182.6
01:01.7     	17:25:55.4         	4.3      	0.2                 	0.1                   	-87.60280    	41.7636     	182.8
01:02.6     	17:25:56.3         	4.1      	0.2                 	0.2                   	-87.60280    	41.7636     	182.7
01:03.4     	17:25:57.1         	4.1      	-0.3                	0.6                   	-87.60280    	41.7636     	182.3
01:04.6     	17:25:58.3         	4.3      	-0.2                	0.2                   	-87.60280    	41.7636     	182.2
01:05.4     	17:25:59.1         	4.5      	0.6                 	0.2                   	-87.60280    	41.7636     	182.6
01:06.6     	17:26:00.4         	4.1      	-0.3                	0.9                   	-87.60280    	41.7636     	182.3
01:07.4     	17:26:01.2         	5.7      	-0.1                	0.3                   	-87.60281    	41.7636     	181.2
01:08.7     	17:26:02.4         	6.1      	0.1                 	0.2                   	-87.60282    	41.7636     	181.0
01:09.5     	17:26:03.2         	6.1      	0.5                 	0.1                   	-87.60282    	41.7636     	181.4
01:10.7     	17:26:04.4         	6.0      	0.4                 	0.1                   	-87.60282    	41.7636     	181.2
01:11.5     	17:26:05.2         	5.7      	0.3                 	0.1                   	-87.60282    	41.7636     	180.9
01:12.7     	17:26:06.4         	6.0      	-0.1                	0.2                   	-87.60281    	41.7636     	180.5
01:13.6     	17:26:07.3         	6.0      	-0.1                	0.2                   	-87.60281    	41.7636     	180.5
01:14.7     	17:26:08.4         	5.9      	0.1                 	0.1                   	-87.60282    	41.7636     	180.8
01:15.6     	17:26:09.3         	5.9      	0.1                 	0.1                   	-87.60282    	41.7636     	181.0
