,Time[sec],Pressure[mbar],T[°C] ,U[%],Geo Pot[m],Dew [°C],RI    ,GRI     ,MRI    ,CL [m/s],D [g/m3],VP [mbar],Pot Te [°C],Vi Te [°C],Spec U [g/kg],UTC Time [sec],Wsp [m/s],Wdir [°],N/S Wind [m/s],E/W Wind [m/s],Vert Wind [m/s],Lon [°]    ,Lat [°]   ,Geometric Height [m]
0,0.0,996.6,22.7,74,183,17.8,264.6,   ///./,264.6,345.0,1173.7,20.4,27.2,25.0,12.86,43204.4,0.0,360, ////./       , ////./       , ////./        ,-87.60281,41.76359,182.9
1,1.0,995.9,22.5,75,190,17.8,264.6,   ///./,265.7,344.9,1173.9,20.4,27.0,24.8,12.87,43205.4,0.7,171, ////./       , ////./       , ////./        ,-87.60276,41.7636,189.6
2,2.0,995.3,22.2,76,195,17.8,264.7,   ///./,266.7,344.7,1174.0,20.4,26.8,24.5,12.87,43206.4,0.7,172, ////./       , ////./       , ////./        ,-87.60271,41.76361,195.3
3,3.0,994.6,22.0,77,201,17.8,264.8,   ///./,267.6,344.6,1174.1,20.4,26.6,24.3,12.87,43207.4,0.7,173, ////./       , ////./       , ////./        ,-87.60266,41.76362,200.9
4,4.0,993.9,21.8,78,206,17.8,264.9,   ///./,268.6,344.5,1174.3,20.4,26.4,24.1,12.87,43208.4,0.7,174, ////./       , ////./       , ////./        ,-87.60261,41.76363,206.6
5,5.0,993.3,21.5,79,212,17.8,265.0,   ///./,269.6,344.3,1174.4,20.4,26.3,23.8,12.87,43209.4,0.7,175, ////./       , ////./       , ////./        ,-87.60256,41.76364,212.2
6,6.0,992.6,21.3,80,218,17.8,265.0,   ///./,270.5,344.2,1174.6,20.4,26.1,23.6,12.86,43210.4,0.7,176, ////./       , ////./       , ////./        ,-87.6025,41.76365,217.9
7,7.0,992.0,21.2,81,223,17.8,265.0,   ///./,271.4,344.1,1174.2,20.4,26.0,23.5,12.9,43211.4,0.8,186, ////./       , ////./       , ////./        ,-87.60245,41.76366,223.5
8,8.0,991.4,21.2,81,229,17.8,264.9,   ///./,272.1,344.1,1173.6,20.5,26.1,23.5,12.93,43212.4,0.9,196, ////./       , ////./       , ////./        ,-87.6024,41.76367,229.1
9,9.0,990.8,21.1,82,234,17.9,264.8,   ///./,272.8,344.1,1173.0,20.5,26.1,23.4,12.97,43213.4,1.0,203, ////./       , ////./       , ////./        ,-87.60235,41.76369,234.3
10,10.0,990.2,21.1,82,239,17.9,264.6,   ///./,273.6,344.1,1172.4,20.5,26.1,23.4,13.0,43214.4,1.1,210, ////./       , ////./       , ////./        ,-87.6023,41.7637,239.6
11,11.0,989.5,21.1,82,245,17.9,264.5,   ///./,274.3,344.1,1171.8,20.6,26.1,23.4,13.03,43215.4,1.1,215, ////./       , ////./       , ////./        ,-87.60225,41.76371,244.8
12,12.0,988.9,21.1,82,250,17.9,264.4,   ///./,275.0,344.0,1171.2,20.6,26.2,23.4,13.06,43216.4,1.2,219, ////./       , ////./       , ////./        ,-87.6022,41.76372,250.1
13,13.0,988.4,21.0,83,255,18.0,264.3,   ///./,275.7,344.0,1170.7,20.6,26.2,23.3,13.09,43217.4,1.3,222, ////./       , ////./       , ////./        ,-87.60215,41.76373,255.3
14,14.0,987.9,21.0,83,260,18.0,264.2,   ///./,276.3,344.0,1170.2,20.7,26.2,23.3,13.12,43218.4,1.4,225, ////./       , ////./       , ////./        ,-87.6021,41.76374,259.9
15,15.0,987.4,21.0,83,264,18.0,264.1,   ///./,276.9,344.0,1169.7,20.7,26.2,23.3,13.15,43219.4,1.5,228, ////./       , ////./       , ////./        ,-87.60206,41.76374,264.1
16,16.0,986.9,20.9,84,268,18.1,264.0,   ///./,277.4,344.0,1169.3,20.8,26.2,23.3,13.18,43220.4,1.6,232, ////./       , ////./       , ////./        ,-87.60202,41.76374,268.3
17,17.0,986.4,20.9,84,272,18.1,263.9,   ///./,278.0,344.0,1168.8,20.8,26.2,23.3,13.21,43221.4,1.7,236, ////./       , ////./       , ////./        ,-87.60197,41.76374,272.6
18,18.0,985.9,20.9,84,277,18.1,263.8,   ///./,278.6,343.9,1168.3,20.8,26.2,23.2,13.24,43222.4,1.8,239, ////./       , ////./       , ////./        ,-87.60193,41.76374,276.8
19,19.0,985.4,20.9,84,281,18.1,263.7,   ///./,279.2,343.9,1167.9,20.9,26.2,23.2,13.27,43223.4,1.9,242, ////./       , ////./       , ////./        ,-87.60189,41.76374,281.0
20,20.0,985.0,20.8,85,285,18.2,263.7,   ///./,279.7,343.9,1167.4,20.9,26.3,23.2,13.31,43224.4,1.9,245, ////./       , ////./       , ////./        ,-87.60185,41.76374,284.8
21,21.0,984.6,20.9,85,289,18.2,263.5,   ///./,280.1,343.9,1166.8,20.9,26.3,23.2,13.29,43225.4,2.0,248, ////./       , ////./       , ////./        ,-87.60181,41.76374,288.7
22,22.0,984.1,20.9,84,292,18.1,263.4,   ///./,280.6,343.9,1166.2,20.8,26.4,23.2,13.27,43226.4,2.1,251, ////./       , ////./       , ////./        ,-87.60177,41.76374,292.6
23,23.0,983.7,20.9,84,296,18.1,263.2,   ///./,281.0,344.0,1165.6,20.8,26.5,23.3,13.24,43227.4,2.2,253, ////./       , ////./       , ////./        ,-87.60173,41.76374,296.4
