Time [mm:ss]	UTC Time [hh:mm:ss]	Range [m]	Vertical Speed [m/s]	Horizontal Speed [m/s]	Longitude [°]	Latitude [°]	Altitude [m]
00:07.4     	18:51:39.4         	---      	---                 	---                   	---          	---         	---
00:08.5     	18:51:40.5         	---      	---                 	---                   	---          	---         	---
00:09.5     	18:51:41.4         	---      	---                 	---                   	---          	---         	---
00:10.6     	18:51:42.5         	---      	---                 	---                   	---          	---         	---
00:11.5     	18:51:43.4         	---      	---                 	---                   	---          	---         	---
00:12.4     	18:51:44.3         	0.5      	0.2                 	0.1                   	-87.60286    	41.7636     	183.4
00:13.5     	18:51:45.4         	0.5      	0.3                 	0.2                   	-87.60287    	41.7636     	183.4
00:14.4     	18:51:46.3         	0.5      	0.1                 	0.1                   	-87.60287    	41.7636     	182.8
00:15.5     	18:51:47.4         	0.9      	0.1                 	0.1                   	-87.60287    	41.7636     	182.3
00:16.4     	18:51:48.3         	1.7      	-0.5                	0.5                   	-87.60286    	41.7636     	181.5
00:17.5     	18:51:49.4         	4.3      	-0.2                	0.2                   	-87.60285    	41.7636     	178.9
00:18.4     	18:51:50.3         	6.0      	0.0                 	0.0                   	-87.60284    	41.7636     	177.6
00:19.5     	18:51:51.4         	6.0      	0.1                 	0.1                   	-87.60284    	41.7636     	177.7
00:20.4     	18:51:52.4         	6.6      	-0.1                	0.1                   	-87.60282    	41.7636     	177.7
00:21.5     	18:51:53.5         	6.2      	-0.2                	0.1                   	-87.60282    	41.7636     	178.2
00:22.4     	18:51:54.4         	5.4      	0.0                 	0.1                   	-87.60283    	41.7636     	179.2
00:23.5     	18:51:55.5         	5.4      	-0.2                	0.1                   	-87.60283    	41.7636     	179.2
00:24.5     	18:51:56.4         	5.4      	0.1                 	0.3                   	-87.60282    	41.7636     	179.3
00:25.4     	18:51:57.3         	5.4      	0.2                 	0.0                   	-87.60282    	41.7636     	179.6
00:26.5     	18:51:58.4         	5.3      	0.1                 	0.0                   	-87.60282    	41.7636     	179.9
00:27.4     	18:51:59.3         	5.5      	0.4                 	0.9                   	-87.60282    	41.7636     	180.2
00:28.5     	18:52:00.4         	5.9      	0.0                 	0.2                   	-87.60281    	41.7636     	180.4
00:29.4     	18:52:01.3         	6.4      	0.0                 	0.7                   	-87.60280    	41.7636     	180.1
00:30.5     	18:52:02.4         	6.5      	0.2                 	0.7                   	-87.60280    	41.7636     	180.8
00:33.4     	18:52:05.3         	5.5      	0.4                 	0.3                   	-87.60280    	41.7636     	182.4
00:34.5     	18:52:06.5         	5.4      	0.4                 	0.3                   	-87.60280    	41.7636     	183.0
00:35.4     	18:52:07.4         	5.5      	0.2                 	0.2                   	-87.60280    	41.7636     	183.4
00:36.5     	18:52:08.5         	5.9      	0.1                 	0.0                   	-87.60279    	41.7636     	183.9
00:37.4     	18:52:09.4         	6.1      	0.2                 	0.1                   	-87.60279    	41.7636     	184.3
00:38.5     	18:52:10.5         	6.5      	0.1                 	0.1                   	-87.60279    	41.7636     	183.8
00:39.5     	18:52:11.4         	6.7      	0.1                 	0.2                   	-87.60279    	41.7636     	183.7
00:40.4     	18:52:12.3         	6.8      	0.4                 	0.4                   	-87.60278    	41.7636     	183.8
00:41.5     	18:52:13.4         	7.2      	0.4                 	0.4                   	-87.60278    	41.7636     	184.1
00:42.4     	18:52:14.3         	7.3      	0.6                 	0.2                   	-87.60278    	41.7636     	184.2
00:43.5     	18:52:15.4         	7.7      	0.3                 	0.2                   	-87.60277    	41.7636     	183.8
00:44.4     	18:52:16.3         	7.8      	0.1                 	0.1                   	-87.60277    	41.7636     	183.7
00:45.5     	18:52:17.4         	7.9      	0.0                 	0.1                   	-87.60277    	41.7636     	183.3
00:46.4     	18:52:18.3         	8.3      	0.1                 	0.1                   	-87.60277    	41.7636     	182.6
00:47.5     	18:52:19.4         	8.5      	0.1                 	0.1                   	-87.60276    	41.7636     	182.2
00:48.4     	18:52:20.3         	8.9      	0.1                 	0.1                   	-87.60276    	41.7636     	181.4
