Time [mm:ss]	UTC Time [hh:mm:ss]	Range [m]	Vertical Speed [m/s]	Horizontal Speed [m/s]	Longitude [°]	Latitude [°]	Altitude [m]
00:07.3     	00:19:22.4         	---      	---                 	---                   	---          	---         	---
00:08.3     	00:19:23.3         	---      	---                 	---                   	---          	---         	---
00:09.4     	00:19:24.4         	---      	---                 	---                   	---          	---         	---
00:10.3     	00:19:25.3         	---      	---                 	---                   	---          	---         	---
00:11.4     	00:19:26.4         	---      	---                 	---                   	---          	---         	---
00:12.3     	00:19:27.3         	0.5      	-1.2                	0.6                   	-87.60277    	41.7636     	189.0
00:13.1     	00:19:28.1         	0.6      	-0.2                	0.2                   	-87.60276    	41.7636     	189.2
00:14.3     	00:19:29.3         	1.2      	0.2                 	0.3                   	-87.60276    	41.7636     	189.8
00:15.1     	00:19:30.2         	1.8      	-0.2                	0.4                   	-87.60276    	41.7636     	190.3
00:16.3     	00:19:31.4         	2.2      	0.1                 	0.1                   	-87.60275    	41.7636     	190.6
00:17.1     	00:19:32.2         	2.2      	-0.1                	0.2                   	-87.60275    	41.7636     	190.5
00:18.3     	00:19:33.4         	1.5      	-0.6                	0.8                   	-87.60275    	41.7636     	189.7
00:19.1     	00:19:34.2         	1.0      	-0.2                	0.8                   	-87.60276    	41.7636     	188.9
00:20.3     	00:19:35.4         	2.0      	1.3                 	1.3                   	-87.60277    	41.7635     	189.3
00:21.1     	00:19:36.2         	2.6      	0.4                 	0.7                   	-87.60278    	41.7635     	189.3
00:22.3     	00:19:37.4         	3.1      	-0.8                	0.7                   	-87.60278    	41.7635     	188.8
00:23.1     	00:19:38.2         	3.6      	-0.2                	0.5                   	-87.60279    	41.7635     	187.9
00:24.4     	00:19:39.4         	3.8      	0.6                 	0.2                   	-87.60279    	41.7635     	188.0
00:25.2     	00:19:40.2         	3.8      	-0.1                	0.1                   	-87.60279    	41.7635     	187.8
00:26.4     	00:19:41.4         	3.8      	0.1                 	0.1                   	-87.60279    	41.7635     	187.6
00:27.2     	00:19:42.2         	3.7      	0.0                 	0.1                   	-87.60279    	41.7635     	187.6
00:28.1     	00:19:43.1         	3.8      	0.1                 	0.0                   	-87.60279    	41.7635     	187.5
00:29.2     	00:19:44.2         	4.1      	0.1                 	0.0                   	-87.60280    	41.7635     	186.8
00:30.1     	00:19:45.2         	4.2      	0.0                 	0.1                   	-87.60280    	41.7635     	186.7
00:31.2     	00:19:46.3         	4.3      	0.3                 	0.2                   	-87.60280    	41.7635     	186.6
00:32.2     	00:19:47.3         	4.4      	0.0                 	0.2                   	-87.60280    	41.7635     	186.5
00:33.2     	00:19:48.3         	4.4      	-0.1                	0.2                   	-87.60280    	41.7635     	186.4
00:34.2     	00:19:49.3         	4.4      	0.1                 	0.0                   	-87.60280    	41.7635     	186.4
00:35.3     	00:19:50.4         	4.4      	0.0                 	0.0                   	-87.60280    	41.7635     	186.4
00:36.2     	00:19:51.3         	4.4      	0.2                 	0.1                   	-87.60281    	41.7635     	186.3
00:37.3     	00:19:52.4         	4.2      	0.7                 	0.2                   	-87.60281    	41.7635     	186.6
