,Time[sec],Pressure[mbar],T[°C] ,U[%],Geo Pot[m],Dew [°C],RI    ,GRI     ,MRI    ,CL [m/s],D [g/m3],VP [mbar],Pot Te [°C],Vi Te [°C],Spec U [g/kg],UTC Time [sec],Wsp [m/s],Wdir [°],N/S Wind [m/s],E/W Wind [m/s],Vert Wind [m/s],Lon [°]    ,Lat [°]   ,Geometric Height [m]
0,0.0,998.8,25.8,70,183,19.9,262.2,   ///./,262.2,346.8,1164.1,23.3,30.1,28.4,14.63,57838.6,0.6,332, ////./       , ////./       , ////./        ,-87.60278,41.76358,182.9
1,1.0,998.1,25.3,71,189,19.6,262.5,   ///./,263.5,346.5,1165.3,22.8,29.7,27.9,14.33,57839.6,3.4,27, ////./       , ////./       , ////./        ,-87.60281,41.76354,189.3
2,2.0,997.3,24.8,71,196,19.2,262.8,   ///./,264.8,346.2,1166.4,22.3,29.2,27.3,14.02,57840.6,3.4,27, ////./       , ////./       , ////./        ,-87.60284,41.7635,195.7
3,3.0,996.6,24.3,72,202,18.9,263.1,   ///./,266.1,345.9,1167.6,21.8,28.7,26.7,13.72,57841.6,3.4,27, ////./       , ////./       , ////./        ,-87.60288,41.76346,202.1
4,4.0,995.9,23.8,72,208,18.5,263.4,   ///./,267.4,345.6,1168.7,21.3,28.3,26.2,13.43,57842.6,3.4,27, ////./       , ////./       , ////./        ,-87.60291,41.76342,208.6
5,5.0,995.2,23.2,73,215,18.1,263.7,   ///./,268.7,345.3,1169.9,20.9,27.8,25.6,13.14,57843.6,3.4,27, ////./       , ////./       , ////./        ,-87.60294,41.76338,215.0
6,6.0,994.4,22.7,74,221,17.8,263.9,   ///./,270.0,345.0,1171.1,20.4,27.4,25.0,12.85,57844.6,3.4,27, ////./       , ////./       , ////./        ,-87.60297,41.76334,221.4
7,7.0,994.0,22.6,74,228,17.7,264.0,   ///./,271.1,344.9,1171.2,20.3,27.2,24.8,12.81,57845.6,3.4,29, ////./       , ////./       , ////./        ,-87.60301,41.7633,227.8
8,8.0,993.5,22.5,75,233,17.8,263.9,   ///./,271.8,344.9,1170.8,20.4,27.2,24.8,12.86,57846.6,3.5,30, ////./       , ////./       , ////./        ,-87.60304,41.76326,232.9
9,9.0,993.1,22.5,75,236,17.8,263.9,   ///./,272.2,344.9,1170.5,20.4,27.2,24.8,12.9,57847.6,3.6,31, ////./       , ////./       , ////./        ,-87.60307,41.76322,235.8
10,10.0,992.7,22.5,75,239,17.9,263.8,   ///./,272.6,344.9,1170.1,20.5,27.2,24.8,12.94,57848.6,3.7,32, ////./       , ////./       , ////./        ,-87.6031,41.76318,238.7
11,11.0,992.2,22.4,76,242,17.9,263.7,   ///./,273.0,344.8,1169.7,20.6,27.2,24.7,12.99,57849.6,3.7,33, ////./       , ////./       , ////./        ,-87.60313,41.76314,241.7
12,12.0,991.8,22.4,76,244,18.0,263.7,   ///./,273.4,344.8,1169.3,20.6,27.2,24.7,13.03,57850.6,3.8,34, ////./       , ////./       , ////./        ,-87.60317,41.7631,244.6
13,13.0,991.3,22.3,76,247,18.0,263.6,   ///./,273.8,344.8,1169.0,20.7,27.2,24.7,13.07,57851.6,3.9,35, ////./       , ////./       , ////./        ,-87.6032,41.76306,247.5
14,14.0,990.9,22.3,77,251,18.0,263.5,   ///./,274.3,344.8,1168.6,20.7,27.2,24.6,13.11,57852.6,4.0,36, ////./       , ////./       , ////./        ,-87.60323,41.76302,251.4
15,15.0,990.5,22.3,77,255,18.1,263.5,   ///./,274.9,344.7,1168.2,20.8,27.2,24.6,13.16,57853.6,4.0,37, ////./       , ////./       , ////./        ,-87.60326,41.76298,255.5
16,16.0,990.0,22.2,78,260,18.1,263.4,   ///./,275.5,344.7,1167.9,20.8,27.2,24.6,13.2,57854.6,4.0,37, ////./       , ////./       , ////./        ,-87.60329,41.76295,259.6
17,17.0,989.6,22.2,78,264,18.2,263.4,   ///./,276.1,344.7,1167.5,20.9,27.2,24.5,13.24,57855.6,4.0,37, ////./       , ////./       , ////./        ,-87.60332,41.76292,263.7
18,18.0,989.1,22.1,78,268,18.2,263.3,   ///./,276.6,344.7,1167.1,21.0,27.2,24.5,13.28,57856.6,4.0,37, ////./       , ////./       , ////./        ,-87.60335,41.7629,267.8
19,19.0,988.7,22.1,79,272,18.3,263.2,   ///./,277.2,344.7,1166.7,21.0,27.2,24.5,13.32,57857.6,3.9,37, ////./       , ////./       , ////./        ,-87.60338,41.76287,271.9
20,20.0,988.2,22.1,79,276,18.3,263.1,   ///./,277.8,344.6,1166.4,21.0,27.2,24.4,13.33,57858.6,3.9,37, ////./       , ////./       , ////./        ,-87.60341,41.76284,276.0
21,21.0,987.8,22.0,79,280,18.2,263.1,   ///./,278.3,344.6,1166.0,21.0,27.2,24.4,13.32,57859.6,3.9,38, ////./       , ////./       , ////./        ,-87.60345,41.76282,280.0
22,22.0,987.3,22.0,79,284,18.2,263.0,   ///./,278.9,344.6,1165.7,21.0,27.2,24.3,13.31,57860.6,3.9,38, ////./       , ////./       , ////./        ,-87.60348,41.76279,284.1
23,23.0,986.8,21.9,79,288,18.2,262.9,   ///./,279.5,344.5,1165.3,20.9,27.2,24.3,13.3,57861.6,3.8,38, ////./       , ////./       , ////./        ,-87.60351,41.76276,288.2
24,24.0,986.4,21.9,80,292,18.2,262.9,   ///./,280.1,344.5,1165.0,20.9,27.2,24.2,13.29,57862.6,3.8,38, ////./       , ////./       , ////./        ,-87.60354,41.76274,292.2
25,25.0,985.9,21.8,80,296,18.2,262.8,   ///./,280.6,344.5,1164.6,20.9,27.2,24.2,13.28,57863.6,3.8,38, ////./       , ////./       , ////./        ,-87.60357,41.76271,296.4
26,26.0,985.4,21.8,80,300,18.1,262.7,   ///./,281.2,344.5,1164.3,20.9,27.2,24.1,13.27,57864.6,3.7,38, ////./       , ////./       , ////./        ,-87.6036,41.76268,300.6
27,27.0,985.0,21.7,80,305,18.1,262.6,   ///./,281.8,344.4,1163.9,20.8,27.2,24.1,13.26,57865.6,3.7,39, ////./       , ////./       , ////./        ,-87.60363,41.76266,304.8
28,28.0,984.5,21.7,80,309,18.1,262.6,   ///./,282.4,344.4,1163.5,20.8,27.2,24.0,13.25,57866.6,3.7,39, ////./       , ////./       , ////./        ,-87.60366,41.76263,309.0
29,29.0,984.0,21.6,80,313,18.1,262.5,   ///./,283.0,344.4,1163.2,20.8,27.1,24.0,13.24,57867.6,3.7,39, ////./       , ////./       , ////./        ,-87.60369,41.7626,313.2
30,30.0,983.5,21.6,80,317,18.1,262.4,   ///./,283.6,344.3,1162.8,20.8,27.1,23.9,13.23,57868.6,3.7,39, ////./       , ////./       , ////./        ,-87.60372,41.76258,317.5
31,31.0,983.0,21.5,81,322,18.0,262.3,   ///./,284.2,344.3,1162.4,20.7,27.1,23.9,13.22,57869.6,3.8,39, ////./       , ////./       , ////./        ,-87.60375,41.76255,322.0
32,32.0,982.5,21.5,81,327,18.0,262.2,   ///./,284.8,344.3,1161.9,20.7,27.1,23.8,13.21,57870.6,3.8,39, ////./       , ////./       , ////./        ,-87.60378,41.76252,326.7
33,33.0,981.9,21.4,81,331,18.0,262.2,   ///./,285.5,344.2,1161.5,20.7,27.1,23.8,13.2,57871.6,3.8,39, ////./       , ////./       , ////./        ,-87.60381,41.76249,331.4
34,34.0,981.4,21.4,81,336,18.0,262.1,   ///./,286.1,344.2,1161.1,20.7,27.1,23.7,13.19,57872.6,3.8,39, ////./       , ////./       , ////./        ,-87.60384,41.76247,336.1
35,35.0,980.9,21.3,81,341,18.0,262.0,   ///./,286.8,344.2,1160.6,20.6,27.1,23.7,13.19,57873.6,3.9,39, ////./       , ////./       , ////./        ,-87.60387,41.76244,340.7
