Time [mm:ss]	UTC Time [hh:mm:ss]	Range [m]	Vertical Speed [m/s]	Horizontal Speed [m/s]	Longitude [°]	Latitude [°]	Altitude [m]
68:27.2     	14:21:41.1         	8112.4   	1.6                 	1.4                   	-87.60963    	41.7063     	5173.5
68:28.3     	14:21:42.2         	8112.5   	1.6                 	1.4                   	-87.60962    	41.7063     	5175.2
68:29.2     	14:21:43.1         	8112.6   	1.4                 	1.4                   	-87.60961    	41.7063     	5176.7
68:30.3     	14:21:44.2         	8112.9   	1.7                 	1.2                   	-87.60960    	41.7063     	5178.3
68:31.3     	14:21:45.1         	8113.3   	1.7                 	1.0                   	-87.60958    	41.7063     	5180.0
68:32.4     	14:21:46.2         	8113.5   	1.6                 	1.1                   	-87.60958    	41.7063     	5181.5
68:33.3     	14:21:47.1         	8113.8   	1.8                 	1.3                   	-87.60957    	41.7063     	5183.3
68:34.4     	14:21:48.2         	8113.8   	1.8                 	1.6                   	-87.60956    	41.7063     	5185.0
68:35.3     	14:21:49.1         	8113.9   	1.7                 	1.9                   	-87.60955    	41.7064     	5186.9
68:36.4     	14:21:50.2         	8113.8   	1.6                 	2.0                   	-87.60953    	41.7064     	5188.6
68:37.3     	14:21:51.1         	8113.8   	1.5                 	1.6                   	-87.60951    	41.7064     	5190.2
68:38.4     	14:21:52.2         	8113.9   	1.6                 	1.2                   	-87.60950    	41.7064     	5191.8
68:39.3     	14:21:53.2         	8114.1   	1.5                 	1.1                   	-87.60949    	41.7064     	5193.3
68:40.2     	14:21:54.1         	8114.1   	1.4                 	1.2                   	-87.60949    	41.7064     	5194.8
68:41.3     	14:21:55.2         	8114.1   	1.7                 	1.5                   	-87.60948    	41.7064     	5196.4
68:42.2     	14:21:56.1         	8114.1   	1.7                 	1.7                   	-87.60948    	41.7064     	5198.2
68:43.3     	14:21:57.2         	8114.0   	1.4                 	1.8                   	-87.60947    	41.7064     	5199.9
68:44.2     	14:21:58.1         	8113.8   	1.5                 	1.6                   	-87.60945    	41.7065     	5201.4
68:45.4     	14:21:59.2         	8113.9   	1.7                 	1.2                   	-87.60944    	41.7065     	5203.0
68:46.3     	14:22:00.1         	8114.1   	1.5                 	1.0                   	-87.60943    	41.7065     	5204.5
68:47.4     	14:22:01.2         	8114.5   	1.4                 	1.1                   	-87.60942    	41.7065     	5206.0
68:48.3     	14:22:02.1         	8114.9   	1.7                 	1.3                   	-87.60941    	41.7065     	5207.6
68:49.4     	14:22:03.2         	8115.2   	1.6                 	1.5                   	-87.60939    	41.7065     	5209.3
68:50.3     	14:22:04.1         	8115.2   	1.4                 	1.7                   	-87.60938    	41.7065     	5210.8
68:51.4     	14:22:05.2         	8115.0   	1.7                 	1.6                   	-87.60937    	41.7065     	5212.3
68:52.3     	14:22:06.2         	8114.8   	1.5                 	1.5                   	-87.60936    	41.7065     	5213.9
68:53.2     	14:22:07.1         	8114.7   	1.6                 	1.4                   	-87.60936    	41.7065     	5215.5
68:54.3     	14:22:08.2         	8114.8   	1.6                 	1.3                   	-87.60936    	41.7065     	5217.3
68:55.2     	14:22:09.1         	8115.0   	1.6                 	1.3                   	-87.60935    	41.7066     	5219.0
68:56.3     	14:22:10.2         	8115.2   	1.5                 	1.3                   	-87.60934    	41.7066     	5220.6
68:57.2     	14:22:11.1         	8115.6   	1.5                 	1.1                   	-87.60933    	41.7066     	5222.2
68:58.4     	14:22:12.2         	8116.2   	1.7                 	1.0                   	-87.60932    	41.7066     	5223.9
68:59.3     	14:22:13.1         	8116.7   	1.6                 	1.2                   	-87.60930    	41.7066     	5225.6
69:00.4     	14:22:14.2         	8116.8   	1.5                 	1.5                   	-87.60929    	41.7066     	5227.2
69:01.3     	14:22:15.1         	8116.7   	1.6                 	1.8                   	-87.60928    	41.7066     	5228.7
69:02.4     	14:22:16.2         	8116.5   	1.6                 	2.0                   	-87.60927    	41.7066     	5230.3
69:03.3     	14:22:17.1         	8116.4   	1.6                 	2.0                   	-87.60925    	41.7066     	5231.9
69:04.4     	14:22:18.2         	8116.4   	1.6                 	1.7                   	-87.60923    	41.7066     	5233.4
69:05.3     	14:22:19.2         	8116.9   	1.5                 	1.3                   	-87.60921    	41.7066     	5234.9
69:06.4     	14:22:20.3         	8117.5   	1.4                 	1.1                   	-87.60920    	41.7066     	5236.3
69:07.3     	14:22:21.2         	8118.1   	1.6                 	1.1                   	-87.60919    	41.7066     	5237.8
69:08.2     	14:22:22.1         	8118.5   	1.7                 	1.1                   	-87.60918    	41.7067     	5239.5
69:09.3     	14:22:23.2         	8118.7   	1.3                 	1.4                   	-87.60917    	41.7067     	5241.0
69:10.2     	14:22:24.1         	8118.5   	1.4                 	1.4                   	-87.60916    	41.7067     	5242.3
69:11.4     	14:22:25.2         	8118.7   	1.6                 	1.3                   	-87.60914    	41.7067     	5243.8
69:12.3     	14:22:26.1         	8119.1   	1.4                 	1.3                   	-87.60913    	41.7067     	5245.4
69:13.4     	14:22:27.2         	8119.7   	1.2                 	1.4                   	-87.60912    	41.7067     	5246.8
69:14.3     	14:22:28.1         	8120.1   	1.3                 	1.6                   	-87.60910    	41.7067     	5248.1
69:15.4     	14:22:29.2         	8120.5   	1.5                 	1.6                   	-87.60908    	41.7067     	5249.6
69:16.3     	14:22:30.1         	8120.8   	1.5                 	1.5                   	-87.60907    	41.7067     	5251.2
69:17.4     	14:22:31.2         	8121.0   	1.3                 	1.4                   	-87.60905    	41.7067     	5252.7
69:18.3     	14:22:32.1         	8121.2   	1.5                 	1.0                   	-87.60904    	41.7067     	5254.2
69:19.4     	14:22:33.3         	8121.8   	1.5                 	0.7                   	-87.60903    	41.7067     	5255.8
69:20.3     	14:22:34.2         	8122.4   	1.3                 	0.7                   	-87.60903    	41.7067     	5257.2
69:21.2     	14:22:35.1         	8123.1   	1.4                 	1.0                   	-87.60902    	41.7067     	5258.6
69:22.3     	14:22:36.2         	8123.8   	1.6                 	1.4                   	-87.60900    	41.7067     	5260.3
69:23.2     	14:22:37.1         	8124.2   	1.3                 	1.6                   	-87.60899    	41.7067     	5261.8
69:24.4     	14:22:38.2         	8124.5   	1.5                 	1.6                   	-87.60897    	41.7067     	5263.3
69:25.3     	14:22:39.1         	8125.1   	1.3                 	1.4                   	-87.60895    	41.7067     	5264.9
69:26.4     	14:22:40.2         	8125.7   	1.2                 	1.2                   	-87.60894    	41.7067     	5266.2
69:27.3     	14:22:41.1         	8126.5   	1.4                 	1.1                   	-87.60892    	41.7067     	5267.7
69:28.4     	14:22:42.2         	8127.3   	1.5                 	1.1                   	-87.60891    	41.7068     	5269.4
69:29.3     	14:22:43.1         	8127.8   	1.3                 	1.0                   	-87.60890    	41.7068     	5270.7
69:30.4     	14:22:44.2         	8128.5   	1.5                 	0.8                   	-87.60889    	41.7068     	5272.1
69:31.3     	14:22:45.1         	8129.3   	1.3                 	0.6                   	-87.60888    	41.7068     	5273.5
69:32.4     	14:22:46.3         	8130.2   	1.5                 	0.5                   	-87.60887    	41.7068     	5274.9
69:33.3     	14:22:47.2         	8131.0   	1.6                 	0.6                   	-87.60887    	41.7068     	5276.3
69:34.4     	14:22:48.3         	8131.4   	1.4                 	0.9                   	-87.60886    	41.7068     	5277.5
69:35.3     	14:22:49.2         	8131.9   	1.3                 	0.9                   	-87.60885    	41.7068     	5278.9
69:36.2     	14:22:50.1         	8132.7   	1.6                 	0.9                   	-87.60884    	41.7068     	5280.4
69:37.4     	14:22:51.2         	8133.8   	1.4                 	0.9                   	-87.60883    	41.7068     	5282.1
69:38.3     	14:22:52.1         	8134.7   	1.3                 	0.8                   	-87.60882    	41.7068     	5283.5
69:39.4     	14:22:53.2         	8135.5   	1.3                 	0.7                   	-87.60881    	41.7068     	5284.8
69:40.3     	14:22:54.1         	8136.2   	1.3                 	0.7                   	-87.60880    	41.7068     	5286.2
69:41.4     	14:22:55.2         	8136.8   	1.2                 	0.7                   	-87.60879    	41.7068     	5287.6
69:42.3     	14:22:56.1         	8137.4   	1.4                 	0.6                   	-87.60879    	41.7068     	5289.0
69:43.4     	14:22:57.2         	8138.3   	1.7                 	0.4                   	-87.60878    	41.7068     	5290.6
69:44.3     	14:22:58.1         	8139.4   	1.6                 	0.5                   	-87.60878    	41.7068     	5292.3
69:45.4     	14:22:59.2         	8140.4   	1.3                 	0.7                   	-87.60877    	41.7068     	5293.7
69:46.3     	14:23:00.2         	8141.4   	1.6                 	0.8                   	-87.60876    	41.7068     	5295.2
69:47.4     	14:23:01.3         	8142.4   	1.6                 	0.9                   	-87.60875    	41.7068     	5296.9
69:48.3     	14:23:02.2         	8143.1   	1.5                 	1.0                   	-87.60874    	41.7068     	5298.5
69:49.2     	14:23:03.1         	8143.7   	1.5                 	1.1                   	-87.60873    	41.7068     	5300.0
69:50.3     	14:23:04.2         	8144.5   	1.6                 	1.1                   	-87.60871    	41.7068     	5301.5
69:52.4     	14:23:06.2         	8146.8   	1.4                 	0.6                   	-87.60869    	41.7068     	5304.6
69:53.3     	14:23:07.1         	8147.9   	1.6                 	0.3                   	-87.60869    	41.7068     	5306.1
69:54.4     	14:23:08.2         	8148.9   	1.5                 	0.2                   	-87.60869    	41.7068     	5307.6
69:55.3     	14:23:09.1         	8149.8   	1.3                 	0.3                   	-87.60868    	41.7068     	5309.1
69:56.4     	14:23:10.2         	8150.6   	1.4                 	0.5                   	-87.60868    	41.7068     	5310.5
69:57.3     	14:23:11.1         	8151.6   	1.5                 	0.7                   	-87.60867    	41.7068     	5312.0
69:58.4     	14:23:12.2         	8152.8   	1.5                 	0.9                   	-87.60866    	41.7068     	5313.5
