Time[sec]	Pressure[mbar]	T[°C] 	U[%]	Geo Pot[m]	Dew [°C]	RI    	GRI     	MRI    	CL [m/s]	D [g/m3]	VP [mbar]	Pot Te [°C]	Vi Te [°C]	Spec U [g/kg]	UTC Time [sec]	Wsp [m/s]	Wdir [°]	N/S Wind [m/s]	E/W Wind [m/s]	Vert Wind [m/s]	Lon [°]    	Lat [°]   	Geometric Height [m]
00000.0  	  995.2       	  24.4	  69	     0    	  18.3  	 262.5	   ///./	  233.7	 346.0  	 1165.4 	 21.1    	   29.0    	  26.8    	 13.31       	  1654.1      	   0.5   	 106    	 ////./       	 ////./       	 ////./        	  -87.60277	  41.76356	     0.0
00001.0  	  993.3       	  24.1	  70	    17    	  18.2  	 262.3	   ///./	  236.1	 345.8  	 1164.3 	 21.0    	   28.9    	  26.5    	 13.25       	  1655.1      	   2.8   	 058    	 ////./       	 ////./       	 ////./        	  -87.60276	  41.76355	    16.6
00002.0  	  991.5       	  23.8	  70	    33    	  18.1  	 262.0	   ///./	  238.5	 345.7  	 1163.2 	 20.8    	   28.7    	  26.2    	 13.18       	  1656.1      	   2.8   	 058    	 ////./       	 ////./       	 ////./        	  -87.60276	  41.76354	    33.2
00003.0  	  989.6       	  23.5	  71	    50    	  18.0  	 261.8	   ///./	  240.9	 345.5  	 1162.2 	 20.7    	   28.6    	  25.9    	 13.12       	  1657.1      	   2.8   	 058    	 ////./       	 ////./       	 ////./        	  -87.60276	  41.76353	    49.8
00004.0  	  987.7       	  23.2	  72	    66    	  17.9  	 261.6	   ///./	  243.4	 345.3  	 1161.1 	 20.6    	   28.5    	  25.6    	 13.05       	  1658.1      	   2.8   	 058    	 ////./       	 ////./       	 ////./        	  -87.60276	  41.76352	    66.4
00005.0  	  985.8       	  23.0	  73	    83    	  17.8  	 261.4	   ///./	  245.8	 345.2  	 1160.0 	 20.4    	   28.4    	  25.3    	 12.98       	  1659.1      	   2.8   	 058    	 ////./       	 ////./       	 ////./        	  -87.60276	  41.76350	    82.9
00006.0  	  984.0       	  22.7	  73	   100    	  17.7  	 261.2	   ///./	  248.2	 345.0  	 1158.9 	 20.3    	   28.2    	  25.0    	 12.91       	  1660.1      	   2.8   	 058    	 ////./       	 ////./       	 ////./        	  -87.60276	  41.76349	    99.5
00007.0  	  982.1       	  22.6	  74	   116    	  17.7  	 260.9	   ///./	  250.4	 344.9  	 1157.2 	 20.3    	   28.3    	  24.9    	 12.95       	  1661.1      	   2.8   	 059    	 ////./       	 ////./       	 ////./        	  -87.60275	  41.76348	   116.1
00008.0  	  980.2       	  22.5	  74	   133    	  17.7  	 260.4	   ///./	  252.6	 344.9  	 1155.2 	 20.3    	   28.4    	  24.8    	 12.99       	  1662.1      	   2.8   	 060    	 ////./       	 ////./       	 ////./        	  -87.60275	  41.76347	   132.7
00009.0  	  978.4       	  22.5	  75	   149    	  17.7  	 260.0	   ///./	  254.7	 344.9  	 1153.2 	 20.3    	   28.5    	  24.8    	 13.03       	  1663.1      	   2.8   	 060    	 ////./       	 ////./       	 ////./        	  -87.60275	  41.76346	   149.3
00010.0  	  976.5       	  22.4	  75	   166    	  17.8  	 259.6	   ///./	  256.9	 344.8  	 1151.2 	 20.4    	   28.6    	  24.7    	 13.07       	  1664.1      	   2.8   	 061    	 ////./       	 ////./       	 ////./        	  -87.60275	  41.76344	   165.9
00011.0  	  974.6       	  22.4	  75	   182    	  17.8  	 259.2	   ///./	  259.1	 344.8  	 1149.2 	 20.4    	   28.7    	  24.7    	 13.11       	  1665.1      	   2.8   	 061    	 ////./       	 ////./       	 ////./        	  -87.60275	  41.76343	   182.5
00012.0  	  972.8       	  22.3	  76	   199    	  17.8  	 258.7	   ///./	  261.3	 344.8  	 1147.2 	 20.4    	   28.8    	  24.6    	 13.15       	  1666.1      	   2.8   	 062    	 ////./       	 ////./       	 ////./        	  -87.60275	  41.76342	   199.1
00013.0  	  971.5       	  22.2	  76	   216    	  17.8  	 258.5	   ///./	  263.6	 344.7  	 1146.0 	 20.4    	   28.9    	  24.6    	 13.19       	  1667.1      	   2.8   	 063    	 ////./       	 ////./       	 ////./        	  -87.60274	  41.76341	   215.7
00014.0  	  970.3       	  22.2	  76	   232    	  17.8  	 258.2	   ///./	  265.9	 344.7  	 1144.7 	 20.5    	   29.0    	  24.5    	 13.22       	  1668.1      	   2.8   	 063    	 ////./       	 ////./       	 ////./        	  -87.60274	  41.76340	   232.3
00015.0  	  969.0       	  22.1	  77	   249    	  17.9  	 257.9	   ///./	  268.3	 344.7  	 1143.4 	 20.5    	   29.0    	  24.5    	 13.25       	  1669.1      	   2.8   	 064    	 ////./       	 ////./       	 ////./        	  -87.60275	  41.76338	   248.8
00016.0  	  967.8       	  22.1	  77	   257    	  17.9  	 257.7	   ///./	  269.3	 344.6  	 1142.1 	 20.5    	   29.1    	  24.5    	 13.29       	  1670.1      	   2.9   	 064    	 ////./       	 ////./       	 ////./        	  -87.60279	  41.76337	   257.3
00017.0  	  966.5       	  22.0	  77	   262    	  17.9  	 257.4	   ///./	  269.8	 344.6  	 1140.8 	 20.5    	   29.1    	  24.4    	 13.32       	  1671.1      	   2.9   	 064    	 ////./       	 ////./       	 ////./        	  -87.60283	  41.76336	   262.1
00018.0  	  965.2       	  22.0	  78	   267    	  17.9  	 257.1	   ///./	  270.3	 344.6  	 1139.6 	 20.6    	   29.2    	  24.4    	 13.35       	  1672.1      	   3.0   	 064    	 ////./       	 ////./       	 ////./        	  -87.60287	  41.76334	   266.9
00019.0  	  964.8       	  21.9	  78	   272    	  17.9  	 257.1	   ///./	  271.0	 344.5  	 1139.2 	 20.6    	   29.2    	  24.3    	 13.37       	  1673.1      	   3.0   	 063    	 ////./       	 ////./       	 ////./        	  -87.60291	  41.76333	   271.8
00020.0  	  964.3       	  21.9	  78	   276    	  17.9  	 257.0	   ///./	  271.7	 344.5  	 1138.8 	 20.6    	   29.2    	  24.3    	 13.38       	  1674.1      	   3.1   	 063    	 ////./       	 ////./       	 ////./        	  -87.60295	  41.76332	   276.5
00021.0  	  963.8       	  21.8	  78	   281    	  17.9  	 256.9	   ///./	  272.2	 344.5  	 1138.3 	 20.5    	   29.2    	  24.2    	 13.36       	  1675.1      	   3.1   	 063    	 ////./       	 ////./       	 ////./        	  -87.60299	  41.76331	   280.8
00022.0  	  963.3       	  21.8	  78	   285    	  17.9  	 256.8	   ///./	  272.8	 344.5  	 1137.9 	 20.5    	   29.2    	  24.2    	 13.35       	  1676.1      	   3.2   	 063    	 ////./       	 ////./       	 ////./        	  -87.60303	  41.76329	   285.0
00023.0  	  962.8       	  21.8	  78	   289    	  17.8  	 256.7	   ///./	  273.4	 344.5  	 1137.5 	 20.5    	   29.2    	  24.1    	 13.33       	  1677.1      	   3.2   	 063    	 ////./       	 ////./       	 ////./        	  -87.60307	  41.76328	   289.3
00024.0  	  962.3       	  21.7	  78	   293    	  17.8  	 256.6	   ///./	  274.0	 344.4  	 1137.0 	 20.4    	   29.2    	  24.1    	 13.32       	  1678.1      	   3.3   	 063    	 ////./       	 ////./       	 ////./        	  -87.60311	  41.76327	   293.6
00025.0  	  961.9       	  21.7	  78	   298    	  17.8  	 256.5	   ///./	  274.6	 344.4  	 1136.7 	 20.4    	   29.2    	  24.1    	 13.31       	  1679.1      	   3.3   	 063    	 ////./       	 ////./       	 ////./        	  -87.60315	  41.76326	   297.8
