,Time[sec],Pressure[mbar],T[°C] ,U[%],Geo Pot[m],Dew [°C],RI    ,GRI     ,MRI    ,CL [m/s],D [g/m3],VP [mbar],Pot Te [°C],Vi Te [°C],Spec U [g/kg],UTC Time [sec],Wsp [m/s],Wdir [°],N/S Wind [m/s],E/W Wind [m/s],Vert Wind [m/s],Lon [°]    ,Lat [°]   ,Geometric Height [m]
0,0.0,995.2,24.4,69,0,18.3,262.5,   ///./,233.7,346.0,1165.4,21.1,29.0,26.8,13.31,1654.1,0.5,106, ////./       , ////./       , ////./        ,-87.60277,41.76356,0.0
1,1.0,993.3,24.1,70,17,18.2,262.3,   ///./,236.1,345.8,1164.3,21.0,28.9,26.5,13.25,1655.1,2.8,58, ////./       , ////./       , ////./        ,-87.60276,41.76355,16.6
2,2.0,991.5,23.8,70,33,18.1,262.0,   ///./,238.5,345.7,1163.2,20.8,28.7,26.2,13.18,1656.1,2.8,58, ////./       , ////./       , ////./        ,-87.60276,41.76354,33.2
3,3.0,989.6,23.5,71,50,18.0,261.8,   ///./,240.9,345.5,1162.2,20.7,28.6,25.9,13.12,1657.1,2.8,58, ////./       , ////./       , ////./        ,-87.60276,41.76353,49.8
4,4.0,987.7,23.2,72,66,17.9,261.6,   ///./,243.4,345.3,1161.1,20.6,28.5,25.6,13.05,1658.1,2.8,58, ////./       , ////./       , ////./        ,-87.60276,41.76352,66.4
5,5.0,985.8,23.0,73,83,17.8,261.4,   ///./,245.8,345.2,1160.0,20.4,28.4,25.3,12.98,1659.1,2.8,58, ////./       , ////./       , ////./        ,-87.60276,41.7635,82.9
6,6.0,984.0,22.7,73,100,17.7,261.2,   ///./,248.2,345.0,1158.9,20.3,28.2,25.0,12.91,1660.1,2.8,58, ////./       , ////./       , ////./        ,-87.60276,41.76349,99.5
7,7.0,982.1,22.6,74,116,17.7,260.9,   ///./,250.4,344.9,1157.2,20.3,28.3,24.9,12.95,1661.1,2.8,59, ////./       , ////./       , ////./        ,-87.60275,41.76348,116.1
8,8.0,980.2,22.5,74,133,17.7,260.4,   ///./,252.6,344.9,1155.2,20.3,28.4,24.8,12.99,1662.1,2.8,60, ////./       , ////./       , ////./        ,-87.60275,41.76347,132.7
9,9.0,978.4,22.5,75,149,17.7,260.0,   ///./,254.7,344.9,1153.2,20.3,28.5,24.8,13.03,1663.1,2.8,60, ////./       , ////./       , ////./        ,-87.60275,41.76346,149.3
