,Time[sec],Pressure[mbar],T[°C] ,U[%],Geo Pot[m],Dew [°C],RI    ,GRI     ,MRI    ,CL [m/s],D [g/m3],VP [mbar],Pot Te [°C],Vi Te [°C],Spec U [g/kg],UTC Time [sec],Wsp [m/s],Wdir [°],N/S Wind [m/s],E/W Wind [m/s],Vert Wind [m/s],Lon [°]    ,Lat [°]   ,Geometric Height [m]
0,0.0,996.5,28.6,57,0,19.2,258.6,   ///./,229.9,348.4,1150.7,22.3,33.2,31.2,14.07,68416.9,0.8,100, ////./       , ////./       , ////./        ,-87.60286,41.7636,0.0
1,1.0,994.5,28.4,57,18,19.0,258.3,   ///./,232.4,348.3,1149.1,22.1,33.1,30.9,13.91,68417.9,5.0,62, ////./       , ////./       , ////./        ,-87.60289,41.76357,18.1
2,2.0,992.5,28.2,57,36,18.8,257.9,   ///./,234.9,348.2,1147.6,21.8,33.1,30.7,13.76,68418.9,5.0,62, ////./       , ////./       , ////./        ,-87.60291,41.76354,36.2
3,3.0,990.4,28.0,57,54,18.6,257.6,   ///./,237.4,348.1,1146.0,21.5,33.1,30.5,13.61,68419.9,5.0,62, ////./       , ////./       , ////./        ,-87.60294,41.76352,54.3
4,4.0,988.4,27.8,57,72,18.4,257.2,   ///./,239.9,347.9,1144.5,21.2,33.0,30.2,13.46,68420.9,5.0,62, ////./       , ////./       , ////./        ,-87.60296,41.76349,72.4
5,5.0,986.4,27.6,57,90,18.2,256.9,   ///./,242.4,347.8,1142.9,20.9,33.0,30.0,13.31,68421.9,5.0,62, ////./       , ////./       , ////./        ,-87.60299,41.76346,90.5
6,6.0,984.4,27.4,57,109,18.0,256.5,   ///./,244.9,347.7,1141.4,20.7,33.0,29.7,13.16,68422.9,5.0,62, ////./       , ////./       , ////./        ,-87.60302,41.76344,108.6
7,7.0,982.4,27.2,57,127,17.8,256.2,   ///./,247.4,347.6,1139.8,20.4,32.9,29.5,13.02,68423.9,5.0,62, ////./       , ////./       , ////./        ,-87.60304,41.76341,126.7
8,8.0,980.4,26.9,57,145,17.8,255.9,   ///./,249.9,347.5,1138.3,20.4,32.9,29.3,13.03,68424.9,4.9,61, ////./       , ////./       , ////./        ,-87.60307,41.76338,144.8
9,9.0,978.4,26.7,58,163,17.8,255.6,   ///./,252.5,347.3,1136.8,20.4,32.9,29.1,13.06,68425.9,4.9,60, ////./       , ////./       , ////./        ,-87.60309,41.76336,163.0
10,10.0,976.4,26.5,59,181,17.8,255.3,   ///./,255.0,347.2,1135.2,20.4,32.8,28.9,13.1,68426.9,4.8,59, ////./       , ////./       , ////./        ,-87.60312,41.76333,181.1
11,11.0,974.4,26.3,59,199,17.8,255.0,   ///./,257.5,347.1,1133.7,20.4,32.8,28.7,13.13,68427.9,4.8,58, ////./       , ////./       , ////./        ,-87.60314,41.7633,199.2
12,12.0,972.4,26.1,60,217,17.8,254.6,   ///./,260.1,347.0,1132.1,20.4,32.8,28.5,13.16,68428.9,4.8,58, ////./       , ////./       , ////./        ,-87.60317,41.76328,217.3
13,13.0,970.5,25.9,61,235,17.8,254.4,   ///./,262.6,346.9,1130.7,20.4,32.7,28.3,13.18,68429.9,4.7,57, ////./       , ////./       , ////./        ,-87.60319,41.76325,235.4
14,14.0,968.6,25.7,62,253,17.8,254.1,   ///./,265.2,346.8,1129.3,20.4,32.7,28.1,13.21,68430.9,4.7,56, ////./       , ////./       , ////./        ,-87.60322,41.76322,253.5
15,15.0,966.7,25.5,62,271,17.8,253.8,   ///./,267.7,346.6,1127.9,20.4,32.7,27.9,13.23,68431.9,4.7,55, ////./       , ////./       , ////./        ,-87.60325,41.7632,271.6
